t,omega
0.000000,1.000000
0.030000,1.000001
0.060000,1.000002
0.085000,1.000002
0.110000,1.000003
0.140000,1.000004
0.165000,1.000005
0.195000,1.000006
0.230000,1.000007
0.270000,1.000008
0.300000,1.000009
0.325000,1.000010
0.350000,1.000011
0.375000,1.000012
0.400000,1.000014
0.425000,1.000015
0.450000,1.000016
0.475000,1.000017
0.505000,1.000018
0.540000,1.000020
0.580000,1.000022
0.630000,1.000024
0.680000,1.000026
0.730000,1.000028
0.780000,1.000030
0.830000,1.000031
0.880000,1.000033
0.930000,1.000034
0.980000,1.000036
1.030000,1.000037
1.080000,1.000039
1.130000,1.000040
1.180000,1.000042
1.230000,1.000043
1.280000,1.000044
1.330000,1.000046
1.380000,1.000048
1.430000,1.000049
1.480000,1.000051
1.530000,1.000052
1.580000,1.000054
1.630000,1.000055
1.680000,1.000057
1.730000,1.000058
1.780000,1.000059
1.830000,1.000061
1.880000,1.000062
1.930000,1.000063
1.980000,1.000064
2.030000,1.000065
2.080000,1.000067
2.130000,1.000068
2.180000,1.000069
2.230000,1.000070
2.280000,1.000071
2.330000,1.000073
2.380000,1.000074
2.430000,1.000075
2.480000,1.000076
2.530000,1.000077
2.580000,1.000078
2.630000,1.000079
2.680000,1.000080
2.730000,1.000081
2.780000,1.000082
2.830000,1.000083
2.880000,1.000084
2.930000,1.000085
2.980000,1.000086
3.030000,1.000087
3.080000,1.000087
3.130000,1.000088
3.180000,1.000089
3.230000,1.000090
3.280000,1.000091
3.330000,1.000092
3.380000,1.000093
3.430000,1.000093
3.480000,1.000094
3.530000,1.000095
3.580000,1.000096
3.630000,1.000096
3.680000,1.000097
3.730000,1.000098
3.780000,1.000098
3.830000,1.000099
3.880000,1.000099
3.930000,1.000100
3.980000,1.000101
4.030000,1.000101
4.080000,1.000102
4.130000,1.000103
4.180000,1.000103
4.230000,1.000104
4.280000,1.000104
4.330000,1.000105
4.380000,1.000105
4.430000,1.000106
4.480000,1.000106
4.530000,1.000107
4.580000,1.000107
4.630000,1.000107
4.680000,1.000108
4.730000,1.000108
4.780000,1.000108
4.830000,1.000109
4.880000,1.000109
4.930000,1.000110
4.980000,1.000110
5.015000,1.000386
5.040000,1.000880
5.065000,1.001398
5.090000,1.001945
5.115000,1.002515
5.140000,1.003117
5.165000,1.003757
5.190000,1.004437
5.208750,1.004736
5.223750,1.004770
5.246250,1.004873
5.271250,1.005064
5.296250,1.005333
5.321250,1.005674
5.346250,1.006079
5.371250,1.006539
5.396250,1.007048
5.426250,1.007713
5.451250,1.008305
5.476250,1.008925
5.501250,1.009566
5.526250,1.010224
5.551250,1.010894
5.591250,1.011977
5.621250,1.012789
5.651250,1.013594
5.681250,1.014385
5.711250,1.015153
5.746250,1.016011
5.786250,1.016923
5.816250,1.013765
5.841250,1.014130
5.866250,1.014437
5.891250,1.014675
5.921250,1.014864
5.946250,1.014937
5.971250,1.014923
5.996250,1.014807
6.026250,1.014584
6.051250,1.014341
6.081250,1.014010
6.111250,1.013664
6.151250,1.013223
6.176250,1.012978
6.201250,1.012772
