t,omega
0.000000,1.000000
0.030000,1.000001
0.070000,1.000002
0.095000,1.000002
0.135000,1.000004
0.160000,1.000004
0.185000,1.000005
0.215000,1.000006
0.250000,1.000007
0.285000,1.000009
0.315000,1.000010
0.340000,1.000011
0.365000,1.000012
0.390000,1.000013
0.415000,1.000014
0.440000,1.000015
0.470000,1.000016
0.505000,1.000018
0.545000,1.000019
0.590000,1.000021
0.640000,1.000023
0.690000,1.000025
0.740000,1.000027
0.790000,1.000029
0.840000,1.000031
0.890000,1.000032
0.940000,1.000034
0.990000,1.000035
1.040000,1.000036
1.090000,1.000038
1.140000,1.000039
1.190000,1.000041
1.240000,1.000042
1.290000,1.000043
1.340000,1.000045
1.390000,1.000046
1.440000,1.000048
1.490000,1.000050
1.540000,1.000051
1.590000,1.000053
1.640000,1.000054
1.690000,1.000055
1.740000,1.000057
1.790000,1.000058
1.840000,1.000059
1.890000,1.000060
1.940000,1.000061
1.990000,1.000063
2.040000,1.000064
2.090000,1.000065
2.140000,1.000066
2.190000,1.000067
2.240000,1.000068
2.290000,1.000069
2.340000,1.000070
2.390000,1.000072
2.440000,1.000073
2.490000,1.000074
2.540000,1.000075
2.590000,1.000076
2.640000,1.000077
2.690000,1.000078
2.740000,1.000079
2.790000,1.000080
2.840000,1.000080
2.890000,1.000081
2.940000,1.000082
2.990000,1.000083
3.040000,1.000084
3.090000,1.000085
3.140000,1.000086
3.190000,1.000086
3.240000,1.000087
3.290000,1.000088
3.340000,1.000089
3.390000,1.000090
3.440000,1.000090
3.490000,1.000091
3.540000,1.000092
3.590000,1.000092
3.640000,1.000093
3.690000,1.000094
3.740000,1.000094
3.790000,1.000095
3.840000,1.000096
3.890000,1.000096
3.940000,1.000097
3.990000,1.000097
4.040000,1.000098
4.090000,1.000099
4.140000,1.000099
4.190000,1.000100
4.240000,1.000100
4.290000,1.000101
4.340000,1.000101
4.390000,1.000102
4.440000,1.000102
4.490000,1.000103
4.540000,1.000103
4.590000,1.000103
4.640000,1.000104
4.690000,1.000104
4.740000,1.000104
4.790000,1.000105
4.840000,1.000105
4.890000,1.000105
4.940000,1.000106
4.990000,1.000106
5.020000,1.000474
5.045000,1.000964
5.070000,1.001475
5.095000,1.002012
5.120000,1.002565
5.145000,1.003151
5.170000,1.003776
5.195000,1.004444
5.215000,1.004602
5.240000,1.004688
5.265000,1.004859
5.290000,1.005111
5.315000,1.005437
5.340000,1.005829
5.365000,1.006279
5.390000,1.006779
5.415000,1.007323
5.440000,1.007903
5.465000,1.008514
5.490000,1.009150
5.515000,1.009806
5.540000,1.010477
5.570000,1.011295
5.600000,1.012120
5.635000,1.013081
5.665000,1.013895
5.690000,1.014562
5.725000,1.015468
5.760000,1.016331
5.800000,1.017249
5.840000,1.018072
5.865000,1.014973
5.890000,1.015397
5.915000,1.015786
5.940000,1.016145
5.965000,1.016479
5.990000,1.016796
6.015000,1.017102
6.040000,1.017404
6.065000,1.017709
6.090000,1.018025
6.115000,1.018358
6.140000,1.018712
6.165000,1.019092
6.190000,1.019498
6.215000,1.019933
