t,omega
0.000000,1.000000
0.030000,1.000001
0.075000,1.000002
0.105000,1.000003
0.135000,1.000003
0.160000,1.000004
0.185000,1.000005
0.220000,1.000006
0.265000,1.000007
0.295000,1.000009
0.325000,1.000010
0.350000,1.000011
0.375000,1.000012
0.405000,1.000013
0.430000,1.000014
0.465000,1.000015
0.490000,1.000016
0.525000,1.000018
0.575000,1.000020
0.625000,1.000022
0.675000,1.000024
0.725000,1.000025
0.775000,1.000027
0.825000,1.000029
0.875000,1.000030
0.925000,1.000031
0.975000,1.000033
1.025000,1.000034
1.075000,1.000035
1.125000,1.000037
1.175000,1.000038
1.225000,1.000039
1.275000,1.000041
1.325000,1.000042
1.375000,1.000043
1.425000,1.000045
1.475000,1.000046
1.525000,1.000048
1.575000,1.000049
1.625000,1.000050
1.675000,1.000052
1.725000,1.000053
1.775000,1.000054
1.825000,1.000055
1.875000,1.000056
1.925000,1.000058
1.975000,1.000059
2.025000,1.000060
2.075000,1.000061
2.125000,1.000062
2.175000,1.000063
2.225000,1.000064
2.275000,1.000065
2.325000,1.000066
2.375000,1.000067
2.425000,1.000068
2.475000,1.000069
2.525000,1.000070
2.575000,1.000071
2.625000,1.000072
2.675000,1.000073
2.725000,1.000074
2.775000,1.000075
2.825000,1.000075
2.875000,1.000076
2.925000,1.000077
2.975000,1.000078
3.025000,1.000079
3.075000,1.000079
3.125000,1.000080
3.175000,1.000081
3.225000,1.000082
3.275000,1.000083
3.325000,1.000083
3.375000,1.000084
3.425000,1.000085
3.475000,1.000085
3.525000,1.000086
3.575000,1.000087
3.625000,1.000087
3.675000,1.000088
3.725000,1.000089
3.775000,1.000089
3.825000,1.000090
3.875000,1.000090
3.925000,1.000091
3.975000,1.000091
4.025000,1.000092
4.075000,1.000092
4.125000,1.000093
4.175000,1.000094
4.225000,1.000094
4.275000,1.000095
4.325000,1.000095
4.375000,1.000095
4.425000,1.000096
4.475000,1.000096
4.525000,1.000097
4.575000,1.000097
4.625000,1.000097
4.675000,1.000098
4.725000,1.000098
4.775000,1.000098
4.825000,1.000099
4.875000,1.000099
4.925000,1.000099
4.975000,1.000100
5.010000,1.000277
5.035000,1.000755
5.060000,1.001247
5.085000,1.001759
5.110000,1.002288
5.135000,1.002839
5.160000,1.003427
5.185000,1.004050
5.210000,1.004428
5.232500,1.004424
5.257500,1.004502
5.282500,1.004665
5.307500,1.004906
5.332500,1.005217
5.357500,1.005590
5.382500,1.006019
5.407500,1.006494
5.432500,1.007010
5.457500,1.007560
5.482500,1.008138
5.507500,1.008739
5.537500,1.009484
5.562500,1.010117
5.592500,1.010886
5.632500,1.011913
5.677500,1.013050
5.712500,1.013905
5.742500,1.014607
5.782500,1.015484
5.822500,1.016275
5.852500,1.016798
5.877500,1.013536
5.902500,1.013937
5.927500,1.014301
5.952500,1.014629
5.982500,1.014983
6.007500,1.015250
6.032500,1.015499
6.062500,1.015785
6.087500,1.016023
6.112500,1.016270
6.137500,1.016535
6.162500,1.016827
6.187500,1.017154
6.212500,1.017514
6.237500,1.017905
6.262500,1.018321
