t,omega
0.000000,1.000000
0.030000,1.000001
0.060000,1.000002
0.085000,1.000002
0.110000,1.000003
0.140000,1.000004
0.175000,1.000005
0.215000,1.000006
0.255000,1.000008
0.280000,1.000009
0.305000,1.000009
0.335000,1.000011
0.360000,1.000012
0.390000,1.000013
0.415000,1.000014
0.440000,1.000015
0.465000,1.000016
0.495000,1.000018
0.535000,1.000019
0.575000,1.000021
0.625000,1.000023
0.675000,1.000025
0.725000,1.000027
0.775000,1.000029
0.825000,1.000031
0.875000,1.000032
0.925000,1.000034
0.975000,1.000035
1.025000,1.000037
1.075000,1.000038
1.125000,1.000039
1.175000,1.000041
1.225000,1.000042
1.275000,1.000044
1.325000,1.000045
1.375000,1.000047
1.425000,1.000048
1.475000,1.000050
1.525000,1.000051
1.575000,1.000053
1.625000,1.000054
1.675000,1.000056
1.725000,1.000057
1.775000,1.000058
1.825000,1.000060
1.875000,1.000061
1.925000,1.000062
1.975000,1.000063
2.025000,1.000064
2.075000,1.000065
2.125000,1.000067
2.175000,1.000068
2.225000,1.000069
2.275000,1.000070
2.325000,1.000071
2.375000,1.000072
2.425000,1.000073
2.475000,1.000074
2.525000,1.000076
2.575000,1.000077
2.625000,1.000078
2.675000,1.000079
2.725000,1.000080
2.775000,1.000080
2.825000,1.000081
2.875000,1.000082
2.925000,1.000083
2.975000,1.000084
3.025000,1.000085
3.075000,1.000086
3.125000,1.000087
3.175000,1.000088
3.225000,1.000088
3.275000,1.000089
3.325000,1.000090
3.375000,1.000091
3.425000,1.000092
3.475000,1.000092
3.525000,1.000093
3.575000,1.000094
3.625000,1.000094
3.675000,1.000095
3.725000,1.000096
3.775000,1.000096
3.825000,1.000097
3.875000,1.000098
3.925000,1.000098
3.975000,1.000099
4.025000,1.000099
4.075000,1.000100
4.125000,1.000101
4.175000,1.000101
4.225000,1.000102
4.275000,1.000102
4.325000,1.000103
4.375000,1.000103
4.425000,1.000104
4.475000,1.000104
4.525000,1.000104
4.575000,1.000105
4.625000,1.000105
4.675000,1.000106
4.725000,1.000106
4.775000,1.000106
4.825000,1.000107
4.875000,1.000107
4.925000,1.000107
4.975000,1.000108
5.010000,1.000289
5.035000,1.000776
5.060000,1.001286
5.085000,1.001822
5.110000,1.002382
5.135000,1.002968
5.160000,1.003592
5.190000,1.004389
5.208750,1.004686
5.227500,1.004736
5.252500,1.004870
5.277500,1.005085
5.302500,1.005377
5.327500,1.005740
5.352500,1.006167
5.377500,1.006650
5.402500,1.007181
5.427500,1.007753
5.452500,1.008357
5.477500,1.008989
5.502500,1.009642
5.527500,1.010311
5.552500,1.010991
5.577500,1.011676
5.607500,1.012500
5.642500,1.013453
5.672500,1.014254
5.702500,1.015032
5.732500,1.015779
5.767500,1.016599
5.807500,1.017450
5.837500,1.013959
5.862500,1.014349
5.887500,1.014681
5.917500,1.014997
5.947500,1.015219
5.977500,1.015345
6.007500,1.015372
6.037500,1.015254
6.062500,1.015093
6.087500,1.014858
6.117500,1.014515
6.142500,1.014213
6.172500,1.013826
6.202500,1.013454
6.232500,1.013123
