t,omega
0.000000,1.000000
0.030000,1.000001
0.055000,1.000001
0.080000,1.000002
0.105000,1.000003
0.140000,1.000004
0.165000,1.000004
0.195000,1.000005
0.220000,1.000006
0.265000,1.000008
0.290000,1.000008
0.315000,1.000009
0.345000,1.000011
0.375000,1.000012
0.400000,1.000013
0.430000,1.000014
0.460000,1.000015
0.495000,1.000017
0.535000,1.000018
0.585000,1.000021
0.635000,1.000023
0.685000,1.000024
0.735000,1.000026
0.785000,1.000028
0.835000,1.000030
0.885000,1.000031
0.935000,1.000032
0.985000,1.000034
1.035000,1.000035
1.085000,1.000036
1.135000,1.000038
1.185000,1.000039
1.235000,1.000040
1.285000,1.000042
1.335000,1.000043
1.385000,1.000045
1.435000,1.000046
1.485000,1.000048
1.535000,1.000049
1.585000,1.000051
1.635000,1.000052
1.685000,1.000053
1.735000,1.000055
1.785000,1.000056
1.835000,1.000057
1.885000,1.000058
1.935000,1.000059
1.985000,1.000060
2.035000,1.000061
2.085000,1.000063
2.135000,1.000064
2.185000,1.000065
2.235000,1.000066
2.285000,1.000067
2.335000,1.000068
2.385000,1.000069
2.435000,1.000070
2.485000,1.000071
2.535000,1.000072
2.585000,1.000073
2.635000,1.000074
2.685000,1.000075
2.735000,1.000076
2.785000,1.000077
2.835000,1.000078
2.885000,1.000079
2.935000,1.000079
2.985000,1.000080
3.035000,1.000081
3.085000,1.000082
3.135000,1.000083
3.185000,1.000084
3.235000,1.000084
3.285000,1.000085
3.335000,1.000086
3.385000,1.000087
3.435000,1.000087
3.485000,1.000088
3.535000,1.000089
3.585000,1.000089
3.635000,1.000090
3.685000,1.000091
3.735000,1.000091
3.785000,1.000092
3.835000,1.000092
3.885000,1.000093
3.935000,1.000094
3.985000,1.000094
4.035000,1.000095
4.085000,1.000095
4.135000,1.000096
4.185000,1.000096
4.235000,1.000097
4.285000,1.000097
4.335000,1.000098
4.385000,1.000098
4.435000,1.000099
4.485000,1.000099
4.535000,1.000100
4.585000,1.000100
4.635000,1.000100
4.685000,1.000101
4.735000,1.000101
4.785000,1.000101
4.835000,1.000102
4.885000,1.000102
4.935000,1.000102
4.985000,1.000103
5.015000,1.000380
5.040000,1.000876
5.065000,1.001396
5.090000,1.001944
5.115000,1.002514
5.140000,1.003116
5.165000,1.003761
5.190000,1.004452
5.208750,1.004773
5.225000,1.004843
5.247500,1.004996
5.272500,1.005248
5.297500,1.005578
5.322500,1.005978
5.347500,1.006441
5.372500,1.006961
5.397500,1.007530
5.422500,1.008142
5.447500,1.008790
5.472500,1.009468
5.497500,1.010170
5.522500,1.010892
5.552500,1.011778
5.587500,1.012826
5.617500,1.013731
5.647500,1.014633
5.672500,1.015380
5.702500,1.016262
5.727500,1.016982
5.772500,1.018228
5.802500,1.015977
5.827500,1.016375
5.852500,1.016731
5.877500,1.017041
5.902500,1.017308
5.932500,1.017579
5.957500,1.017770
5.987500,1.017968
6.012500,1.018117
6.042500,1.018290
6.077500,1.018502
6.112500,1.018755
6.137500,1.018976
6.162500,1.019242
6.187500,1.019560
6.212500,1.019929
