t,omega
0.000000,1.000000
0.030000,1.000001
0.065000,1.000002
0.095000,1.000002
0.130000,1.000003
0.160000,1.000004
0.185000,1.000005
0.220000,1.000006
0.255000,1.000007
0.285000,1.000008
0.315000,1.000010
0.345000,1.000011
0.375000,1.000012
0.400000,1.000013
0.430000,1.000014
0.460000,1.000016
0.500000,1.000017
0.550000,1.000019
0.600000,1.000022
0.650000,1.000024
0.700000,1.000025
0.750000,1.000027
0.800000,1.000029
0.850000,1.000031
0.900000,1.000032
0.950000,1.000034
1.000000,1.000035
1.050000,1.000036
1.100000,1.000038
1.150000,1.000039
1.200000,1.000040
1.250000,1.000042
1.300000,1.000043
1.350000,1.000045
1.400000,1.000046
1.450000,1.000048
1.500000,1.000049
1.550000,1.000051
1.600000,1.000052
1.650000,1.000054
1.700000,1.000055
1.750000,1.000056
1.800000,1.000057
1.850000,1.000059
1.900000,1.000060
1.950000,1.000061
2.000000,1.000062
2.050000,1.000063
2.100000,1.000064
2.150000,1.000065
2.200000,1.000067
2.250000,1.000068
2.300000,1.000069
2.350000,1.000070
2.400000,1.000071
2.450000,1.000072
2.500000,1.000073
2.550000,1.000074
2.600000,1.000075
2.650000,1.000076
2.700000,1.000077
2.750000,1.000078
2.800000,1.000079
2.850000,1.000080
2.900000,1.000081
2.950000,1.000081
3.000000,1.000082
3.050000,1.000083
3.100000,1.000084
3.150000,1.000085
3.200000,1.000086
3.250000,1.000087
3.300000,1.000087
3.350000,1.000088
3.400000,1.000089
3.450000,1.000090
3.500000,1.000090
3.550000,1.000091
3.600000,1.000092
3.650000,1.000092
3.700000,1.000093
3.750000,1.000094
3.800000,1.000094
3.850000,1.000095
3.900000,1.000095
3.950000,1.000096
4.000000,1.000097
4.050000,1.000097
4.100000,1.000098
4.150000,1.000098
4.200000,1.000099
4.250000,1.000099
4.300000,1.000100
4.350000,1.000100
4.400000,1.000101
4.450000,1.000101
4.500000,1.000102
4.550000,1.000102
4.600000,1.000102
4.650000,1.000103
4.700000,1.000103
4.750000,1.000104
4.800000,1.000104
4.850000,1.000104
4.900000,1.000105
4.950000,1.000105
5.000000,1.000105
5.025000,1.000581
5.050000,1.001093
5.075000,1.001635
5.100000,1.002209
5.125000,1.002805
5.150000,1.003441
5.175000,1.004114
5.200000,1.004831
5.215000,1.004879
5.231250,1.004949
5.250000,1.005069
5.275000,1.005297
5.300000,1.005597
5.325000,1.005964
5.350000,1.006392
5.375000,1.006873
5.400000,1.007401
5.425000,1.007969
5.450000,1.008570
5.475000,1.009198
5.500000,1.009848
5.525000,1.010515
5.555000,1.011330
5.580000,1.012016
5.615000,1.012978
5.650000,1.013932
5.690000,1.014996
5.730000,1.016013
5.760000,1.016734
5.800000,1.017621
5.825000,1.014207
5.850000,1.014532
5.875000,1.014785
5.900000,1.014962
5.925000,1.015061
5.955000,1.015077
5.980000,1.014979
6.015000,1.014741
6.050000,1.014412
6.085000,1.014047
6.115000,1.013748
6.145000,1.013488
6.175000,1.013295
6.205000,1.013191
6.230000,1.013188
6.255000,1.013272
6.280000,1.013446
