t,omega
0.000000,1.000000
0.030000,1.000001
0.065000,1.000002
0.090000,1.000002
0.115000,1.000003
0.140000,1.000004
0.185000,1.000005
0.230000,1.000007
0.260000,1.000008
0.295000,1.000009
0.325000,1.000010
0.350000,1.000011
0.375000,1.000012
0.400000,1.000013
0.425000,1.000014
0.450000,1.000015
0.485000,1.000017
0.520000,1.000019
0.560000,1.000020
0.600000,1.000022
0.650000,1.000024
0.700000,1.000026
0.750000,1.000028
0.800000,1.000030
0.850000,1.000031
0.900000,1.000033
0.950000,1.000035
1.000000,1.000036
1.050000,1.000037
1.100000,1.000039
1.150000,1.000040
1.200000,1.000042
1.250000,1.000043
1.300000,1.000045
1.350000,1.000046
1.400000,1.000048
1.450000,1.000049
1.500000,1.000051
1.550000,1.000052
1.600000,1.000054
1.650000,1.000055
1.700000,1.000057
1.750000,1.000058
1.800000,1.000059
1.850000,1.000060
1.900000,1.000062
1.950000,1.000063
2.000000,1.000064
2.050000,1.000065
2.100000,1.000066
2.150000,1.000067
2.200000,1.000069
2.250000,1.000070
2.300000,1.000071
2.350000,1.000072
2.400000,1.000073
2.450000,1.000074
2.500000,1.000075
2.550000,1.000076
2.600000,1.000078
2.650000,1.000079
2.700000,1.000079
2.750000,1.000080
2.800000,1.000081
2.850000,1.000082
2.900000,1.000083
2.950000,1.000084
3.000000,1.000085
3.050000,1.000086
3.100000,1.000087
3.150000,1.000088
3.200000,1.000088
3.250000,1.000089
3.300000,1.000090
3.350000,1.000091
3.400000,1.000092
3.450000,1.000093
3.500000,1.000093
3.550000,1.000094
3.600000,1.000095
3.650000,1.000095
3.700000,1.000096
3.750000,1.000097
3.800000,1.000097
3.850000,1.000098
3.900000,1.000098
3.950000,1.000099
4.000000,1.000100
4.050000,1.000100
4.100000,1.000101
4.150000,1.000101
4.200000,1.000102
4.250000,1.000103
4.300000,1.000103
4.350000,1.000104
4.400000,1.000104
4.450000,1.000105
4.500000,1.000105
4.550000,1.000105
4.600000,1.000106
4.650000,1.000106
4.700000,1.000107
4.750000,1.000107
4.800000,1.000107
4.850000,1.000108
4.900000,1.000108
4.950000,1.000108
5.000000,1.000109
5.025000,1.000589
5.050000,1.001106
5.075000,1.001651
5.100000,1.002228
5.125000,1.002824
5.150000,1.003460
5.175000,1.004135
5.200000,1.004853
5.220000,1.004923
5.238750,1.005023
5.263750,1.005225
5.288750,1.005506
5.313750,1.005861
5.338750,1.006284
5.363750,1.006765
5.388750,1.007296
5.413750,1.007871
5.438750,1.008483
5.463750,1.009125
5.488750,1.009791
5.513750,1.010476
5.538750,1.011176
5.563750,1.011885
5.588750,1.012598
5.628750,1.013739
5.663750,1.014726
5.698750,1.015689
5.728750,1.016486
5.763750,1.017373
5.788750,1.017969
5.813750,1.014815
5.838750,1.015142
5.863750,1.015440
5.888750,1.015715
5.918750,1.016018
5.943750,1.016258
5.968750,1.016491
5.998750,1.016774
6.023750,1.017020
6.048750,1.017284
6.073750,1.017571
6.098750,1.017882
6.123750,1.018218
6.148750,1.018577
6.173750,1.018959
6.198750,1.019361
