t,omega
0.000000,1.000000
0.030000,1.000001
0.065000,1.000002
0.090000,1.000002
0.120000,1.000003
0.150000,1.000004
0.175000,1.000004
0.205000,1.000005
0.245000,1.000007
0.275000,1.000008
0.300000,1.000009
0.330000,1.000010
0.355000,1.000011
0.380000,1.000012
0.405000,1.000013
0.430000,1.000014
0.455000,1.000015
0.490000,1.000016
0.525000,1.000017
0.570000,1.000019
0.620000,1.000021
0.670000,1.000023
0.720000,1.000025
0.770000,1.000026
0.820000,1.000028
0.870000,1.000029
0.920000,1.000031
0.970000,1.000032
1.020000,1.000033
1.070000,1.000034
1.120000,1.000035
1.170000,1.000037
1.220000,1.000038
1.270000,1.000039
1.320000,1.000041
1.370000,1.000042
1.420000,1.000043
1.470000,1.000045
1.520000,1.000046
1.570000,1.000047
1.620000,1.000049
1.670000,1.000050
1.720000,1.000051
1.770000,1.000052
1.820000,1.000053
1.870000,1.000054
1.920000,1.000055
1.970000,1.000056
2.020000,1.000057
2.070000,1.000058
2.120000,1.000059
2.170000,1.000060
2.220000,1.000061
2.270000,1.000062
2.320000,1.000063
2.370000,1.000064
2.420000,1.000065
2.470000,1.000066
2.520000,1.000067
2.570000,1.000068
2.620000,1.000069
2.670000,1.000070
2.720000,1.000071
2.770000,1.000072
2.820000,1.000072
2.870000,1.000073
2.920000,1.000074
2.970000,1.000075
3.020000,1.000075
3.070000,1.000076
3.120000,1.000077
3.170000,1.000078
3.220000,1.000078
3.270000,1.000079
3.320000,1.000080
3.370000,1.000081
3.420000,1.000081
3.470000,1.000082
3.520000,1.000082
3.570000,1.000083
3.620000,1.000084
3.670000,1.000084
3.720000,1.000085
3.770000,1.000085
3.820000,1.000086
3.870000,1.000086
3.920000,1.000087
3.970000,1.000087
4.020000,1.000088
4.070000,1.000088
4.120000,1.000089
4.170000,1.000089
4.220000,1.000090
4.270000,1.000090
4.320000,1.000091
4.370000,1.000091
4.420000,1.000092
4.470000,1.000092
4.520000,1.000092
4.570000,1.000093
4.620000,1.000093
4.670000,1.000093
4.720000,1.000094
4.770000,1.000094
4.820000,1.000094
4.870000,1.000094
4.920000,1.000095
4.970000,1.000095
5.010000,1.000277
5.035000,1.000772
5.060000,1.001292
5.085000,1.001838
5.110000,1.002408
5.135000,1.003003
5.160000,1.003636
5.185000,1.004304
5.207500,1.004740
5.222500,1.004773
5.245000,1.004871
5.270000,1.005055
5.295000,1.005318
5.320000,1.005652
5.345000,1.006051
5.370000,1.006508
5.395000,1.007016
5.420000,1.007568
5.445000,1.008158
5.470000,1.008778
5.495000,1.009423
5.520000,1.010087
5.550000,1.010902
5.580000,1.011728
5.610000,1.012559
5.645000,1.013522
5.670000,1.014199
5.705000,1.015124
5.735000,1.015885
5.775000,1.016838
5.805000,1.017493
5.830000,1.013898
5.855000,1.014233
5.880000,1.014551
5.905000,1.014856
5.935000,1.015212
5.965000,1.015565
5.990000,1.015864
6.015000,1.016174
6.040000,1.016501
6.065000,1.016845
6.090000,1.017208
6.115000,1.017587
6.140000,1.017984
6.165000,1.018396
6.190000,1.018824
