t,omega
0.000000,1.000000
0.030000,1.000001
0.065000,1.000002
0.095000,1.000002
0.120000,1.000003
0.150000,1.000004
0.175000,1.000005
0.205000,1.000006
0.240000,1.000007
0.280000,1.000009
0.310000,1.000010
0.335000,1.000011
0.360000,1.000012
0.390000,1.000013
0.415000,1.000014
0.440000,1.000015
0.475000,1.000017
0.500000,1.000018
0.540000,1.000020
0.585000,1.000022
0.635000,1.000024
0.685000,1.000026
0.735000,1.000028
0.785000,1.000030
0.835000,1.000031
0.885000,1.000033
0.935000,1.000035
0.985000,1.000036
1.035000,1.000037
1.085000,1.000039
1.135000,1.000040
1.185000,1.000042
1.235000,1.000043
1.285000,1.000045
1.335000,1.000046
1.385000,1.000048
1.435000,1.000049
1.485000,1.000051
1.535000,1.000053
1.585000,1.000054
1.635000,1.000056
1.685000,1.000057
1.735000,1.000058
1.785000,1.000060
1.835000,1.000061
1.885000,1.000062
1.935000,1.000063
1.985000,1.000065
2.035000,1.000066
2.085000,1.000067
2.135000,1.000068
2.185000,1.000069
2.235000,1.000071
2.285000,1.000072
2.335000,1.000073
2.385000,1.000074
2.435000,1.000075
2.485000,1.000076
2.535000,1.000077
2.585000,1.000078
2.635000,1.000080
2.685000,1.000081
2.735000,1.000082
2.785000,1.000082
2.835000,1.000083
2.885000,1.000084
2.935000,1.000085
2.985000,1.000086
3.035000,1.000087
3.085000,1.000088
3.135000,1.000089
3.185000,1.000090
3.235000,1.000091
3.285000,1.000091
3.335000,1.000092
3.385000,1.000093
3.435000,1.000094
3.485000,1.000095
3.535000,1.000095
3.585000,1.000096
3.635000,1.000097
3.685000,1.000097
3.735000,1.000098
3.785000,1.000099
3.835000,1.000099
3.885000,1.000100
3.935000,1.000101
3.985000,1.000101
4.035000,1.000102
4.085000,1.000103
4.135000,1.000103
4.185000,1.000104
4.235000,1.000104
4.285000,1.000105
4.335000,1.000105
4.385000,1.000106
4.435000,1.000106
4.485000,1.000107
4.535000,1.000107
4.585000,1.000108
4.635000,1.000108
4.685000,1.000108
4.735000,1.000109
4.785000,1.000109
4.835000,1.000110
4.885000,1.000110
4.935000,1.000110
4.985000,1.000111
5.015000,1.000381
5.040000,1.000867
5.065000,1.001378
5.090000,1.001917
5.115000,1.002479
5.140000,1.003069
5.165000,1.003695
5.190000,1.004358
5.212500,1.004642
5.231250,1.004673
5.256250,1.004783
5.281250,1.004973
5.306250,1.005240
5.331250,1.005576
5.356250,1.005975
5.381250,1.006428
5.406250,1.006928
5.431250,1.007468
5.456250,1.008041
5.481250,1.008642
5.511250,1.009390
5.536250,1.010031
5.561250,1.010682
5.596250,1.011601
5.631250,1.012517
5.666250,1.013418
5.696250,1.014170
5.726250,1.014895
5.761250,1.015695
5.796250,1.016433
5.826250,1.017005
5.851250,1.013603
5.876250,1.013992
5.901250,1.014357
5.926250,1.014702
5.951250,1.015031
5.976250,1.015351
6.001250,1.015666
6.026250,1.015983
6.051250,1.016309
6.076250,1.016650
6.101250,1.017010
6.126250,1.017387
6.151250,1.017779
6.176250,1.018185
6.201250,1.018605
