t,omega
0.000000,1.000000
0.030000,1.000001
0.065000,1.000002
0.090000,1.000002
0.115000,1.000003
0.150000,1.000004
0.175000,1.000005
0.210000,1.000006
0.255000,1.000008
0.280000,1.000009
0.310000,1.000010
0.340000,1.000011
0.365000,1.000012
0.390000,1.000013
0.420000,1.000015
0.445000,1.000016
0.480000,1.000017
0.515000,1.000019
0.560000,1.000021
0.610000,1.000023
0.660000,1.000025
0.710000,1.000027
0.760000,1.000029
0.810000,1.000031
0.860000,1.000033
0.910000,1.000034
0.960000,1.000036
1.010000,1.000037
1.060000,1.000039
1.110000,1.000040
1.160000,1.000041
1.210000,1.000043
1.260000,1.000044
1.310000,1.000046
1.360000,1.000048
1.410000,1.000049
1.460000,1.000051
1.510000,1.000052
1.560000,1.000054
1.610000,1.000055
1.660000,1.000057
1.710000,1.000058
1.760000,1.000060
1.810000,1.000061
1.860000,1.000062
1.910000,1.000063
1.960000,1.000065
2.010000,1.000066
2.060000,1.000067
2.110000,1.000068
2.160000,1.000069
2.210000,1.000071
2.260000,1.000072
2.310000,1.000073
2.360000,1.000074
2.410000,1.000075
2.460000,1.000076
2.510000,1.000078
2.560000,1.000079
2.610000,1.000080
2.660000,1.000081
2.710000,1.000082
2.760000,1.000083
2.810000,1.000084
2.860000,1.000085
2.910000,1.000086
2.960000,1.000087
3.010000,1.000087
3.060000,1.000088
3.110000,1.000089
3.160000,1.000090
3.210000,1.000091
3.260000,1.000092
3.310000,1.000093
3.360000,1.000094
3.410000,1.000094
3.460000,1.000095
3.510000,1.000096
3.560000,1.000097
3.610000,1.000097
3.660000,1.000098
3.710000,1.000099
3.760000,1.000099
3.810000,1.000100
3.860000,1.000101
3.910000,1.000101
3.960000,1.000102
4.010000,1.000103
4.060000,1.000103
4.110000,1.000104
4.160000,1.000104
4.210000,1.000105
4.260000,1.000106
4.310000,1.000106
4.360000,1.000107
4.410000,1.000107
4.460000,1.000108
4.510000,1.000108
4.560000,1.000108
4.610000,1.000109
4.660000,1.000109
4.710000,1.000110
4.760000,1.000110
4.810000,1.000110
4.860000,1.000111
4.910000,1.000111
4.960000,1.000111
5.005000,1.000199
5.030000,1.000684
5.055000,1.001198
5.080000,1.001739
5.105000,1.002310
5.130000,1.002904
5.155000,1.003539
5.180000,1.004218
5.205000,1.004815
5.221250,1.004879
5.246250,1.005039
5.271250,1.005282
5.296250,1.005604
5.321250,1.005998
5.346250,1.006456
5.371250,1.006970
5.396250,1.007534
5.421250,1.008140
5.446250,1.008784
5.471250,1.009458
5.496250,1.010157
5.521250,1.010875
5.546250,1.011608
5.571250,1.012352
5.596250,1.013101
5.626250,1.014004
5.656250,1.014903
5.681250,1.015646
5.716250,1.016669
5.751250,1.017661
5.776250,1.018346
5.801250,1.016373
5.826250,1.016783
5.851250,1.017154
5.876250,1.017485
5.901250,1.017780
5.931250,1.018091
5.956250,1.018318
5.986250,1.018561
6.021250,1.018817
6.056250,1.019060
6.086250,1.019275
6.111250,1.019469
6.136250,1.019685
6.161250,1.019931
6.186250,1.020214
6.211250,1.020538
