t,omega
0.000000,1.000000
0.030000,1.000001
0.065000,1.000002
0.100000,1.000003
0.125000,1.000003
0.155000,1.000004
0.180000,1.000005
0.220000,1.000006
0.255000,1.000008
0.285000,1.000009
0.310000,1.000010
0.340000,1.000011
0.365000,1.000012
0.390000,1.000013
0.415000,1.000014
0.445000,1.000016
0.475000,1.000017
0.510000,1.000019
0.550000,1.000021
0.600000,1.000023
0.650000,1.000025
0.700000,1.000027
0.750000,1.000029
0.800000,1.000031
0.850000,1.000032
0.900000,1.000034
0.950000,1.000036
1.000000,1.000037
1.050000,1.000038
1.100000,1.000040
1.150000,1.000041
1.200000,1.000043
1.250000,1.000044
1.300000,1.000046
1.350000,1.000047
1.400000,1.000049
1.450000,1.000051
1.500000,1.000052
1.550000,1.000054
1.600000,1.000055
1.650000,1.000057
1.700000,1.000058
1.750000,1.000060
1.800000,1.000061
1.850000,1.000062
1.900000,1.000063
1.950000,1.000065
2.000000,1.000066
2.050000,1.000067
2.100000,1.000068
2.150000,1.000069
2.200000,1.000070
2.250000,1.000072
2.300000,1.000073
2.350000,1.000074
2.400000,1.000075
2.450000,1.000076
2.500000,1.000077
2.550000,1.000079
2.600000,1.000080
2.650000,1.000081
2.700000,1.000082
2.750000,1.000083
2.800000,1.000084
2.850000,1.000085
2.900000,1.000085
2.950000,1.000086
3.000000,1.000087
3.050000,1.000088
3.100000,1.000089
3.150000,1.000090
3.200000,1.000091
3.250000,1.000092
3.300000,1.000093
3.350000,1.000093
3.400000,1.000094
3.450000,1.000095
3.500000,1.000096
3.550000,1.000096
3.600000,1.000097
3.650000,1.000098
3.700000,1.000098
3.750000,1.000099
3.800000,1.000100
3.850000,1.000100
3.900000,1.000101
3.950000,1.000102
4.000000,1.000102
4.050000,1.000103
4.100000,1.000104
4.150000,1.000104
4.200000,1.000105
4.250000,1.000105
4.300000,1.000106
4.350000,1.000106
4.400000,1.000107
4.450000,1.000107
4.500000,1.000108
4.550000,1.000108
4.600000,1.000109
4.650000,1.000109
4.700000,1.000109
4.750000,1.000110
4.800000,1.000110
4.850000,1.000110
4.900000,1.000111
4.950000,1.000111
5.000000,1.000112
5.025000,1.000583
5.050000,1.001082
5.075000,1.001603
5.100000,1.002151
5.125000,1.002714
5.150000,1.003317
5.175000,1.003964
5.200000,1.004656
5.216250,1.004684
5.232500,1.004739
5.257500,1.004898
5.282500,1.005144
5.307500,1.005466
5.332500,1.005858
5.357500,1.006312
5.382500,1.006821
5.407500,1.007378
5.432500,1.007977
5.457500,1.008611
5.482500,1.009274
5.507500,1.009961
5.532500,1.010666
5.557500,1.011386
5.592500,1.012407
5.622500,1.013289
5.657500,1.014316
5.697500,1.015474
5.737500,1.016601
5.782500,1.017809
5.812500,1.015683
5.837500,1.016093
5.862500,1.016452
5.892500,1.016805
5.927500,1.017106
5.952500,1.017245
5.992500,1.017296
6.027500,1.017213
6.062500,1.017050
6.087500,1.016877
6.127500,1.016582
6.162500,1.016351
6.207500,1.016159
6.237500,1.016123
6.267500,1.016179
6.292500,1.016306
6.317500,1.016507
