t,omega
0.000000,1.000000
0.030000,1.000001
0.065000,1.000002
0.095000,1.000002
0.120000,1.000003
0.160000,1.000004
0.200000,1.000005
0.250000,1.000007
0.280000,1.000008
0.305000,1.000009
0.330000,1.000010
0.355000,1.000011
0.380000,1.000012
0.410000,1.000013
0.435000,1.000015
0.460000,1.000016
0.485000,1.000017
0.515000,1.000018
0.545000,1.000019
0.590000,1.000021
0.640000,1.000023
0.690000,1.000025
0.740000,1.000027
0.790000,1.000029
0.840000,1.000030
0.890000,1.000032
0.940000,1.000033
0.990000,1.000034
1.040000,1.000036
1.090000,1.000037
1.140000,1.000038
1.190000,1.000040
1.240000,1.000041
1.290000,1.000042
1.340000,1.000044
1.390000,1.000045
1.440000,1.000047
1.490000,1.000048
1.540000,1.000050
1.590000,1.000051
1.640000,1.000052
1.690000,1.000054
1.740000,1.000055
1.790000,1.000056
1.840000,1.000057
1.890000,1.000059
1.940000,1.000060
1.990000,1.000061
2.040000,1.000062
2.090000,1.000063
2.140000,1.000064
2.190000,1.000065
2.240000,1.000066
2.290000,1.000067
2.340000,1.000068
2.390000,1.000069
2.440000,1.000070
2.490000,1.000072
2.540000,1.000073
2.590000,1.000074
2.640000,1.000074
2.690000,1.000075
2.740000,1.000076
2.790000,1.000077
2.840000,1.000078
2.890000,1.000079
2.940000,1.000080
2.990000,1.000081
3.040000,1.000081
3.090000,1.000082
3.140000,1.000083
3.190000,1.000084
3.240000,1.000085
3.290000,1.000085
3.340000,1.000086
3.390000,1.000087
3.440000,1.000088
3.490000,1.000088
3.540000,1.000089
3.590000,1.000090
3.640000,1.000090
3.690000,1.000091
3.740000,1.000091
3.790000,1.000092
3.840000,1.000093
3.890000,1.000093
3.940000,1.000094
3.990000,1.000094
4.040000,1.000095
4.090000,1.000096
4.140000,1.000096
4.190000,1.000097
4.240000,1.000097
4.290000,1.000098
4.340000,1.000098
4.390000,1.000099
4.440000,1.000099
4.490000,1.000099
4.540000,1.000100
4.590000,1.000100
4.640000,1.000100
4.690000,1.000101
4.740000,1.000101
4.790000,1.000101
4.840000,1.000102
4.890000,1.000102
4.940000,1.000103
4.990000,1.000103
5.020000,1.000474
5.045000,1.000967
5.070000,1.001482
5.095000,1.002021
5.120000,1.002577
5.145000,1.003166
5.170000,1.003795
5.195000,1.004468
5.213750,1.004629
5.236250,1.004701
5.261250,1.004860
5.286250,1.005102
5.311250,1.005421
5.336250,1.005812
5.361250,1.006265
5.386250,1.006773
5.411250,1.007328
5.436250,1.007923
5.461250,1.008552
5.486250,1.009209
5.511250,1.009888
5.536250,1.010585
5.561250,1.011294
5.596250,1.012299
5.626250,1.013164
5.671250,1.014450
5.706250,1.015427
5.736250,1.016239
5.771250,1.017144
5.806250,1.017992
5.836250,1.015137
5.861250,1.015541
5.886250,1.015917
5.916250,1.016335
5.946250,1.016722
5.976250,1.017089
6.006250,1.017445
6.031250,1.017740
6.061250,1.018104
6.086250,1.018422
6.111250,1.018760
6.136250,1.019124
6.161250,1.019518
6.186250,1.019938
6.211250,1.020384
6.236250,1.020851
