t,omega
0.000000,1.000000
0.030000,1.000001
0.065000,1.000001
0.095000,1.000002
0.125000,1.000003
0.150000,1.000004
0.180000,1.000004
0.220000,1.000006
0.255000,1.000007
0.285000,1.000008
0.310000,1.000009
0.335000,1.000009
0.360000,1.000010
0.385000,1.000011
0.410000,1.000012
0.440000,1.000013
0.465000,1.000014
0.495000,1.000016
0.530000,1.000017
0.570000,1.000018
0.620000,1.000020
0.670000,1.000022
0.720000,1.000024
0.770000,1.000025
0.820000,1.000027
0.870000,1.000028
0.920000,1.000029
0.970000,1.000031
1.020000,1.000032
1.070000,1.000033
1.120000,1.000034
1.170000,1.000035
1.220000,1.000036
1.270000,1.000038
1.320000,1.000039
1.370000,1.000040
1.420000,1.000042
1.470000,1.000043
1.520000,1.000044
1.570000,1.000046
1.620000,1.000047
1.670000,1.000048
1.720000,1.000049
1.770000,1.000050
1.820000,1.000051
1.870000,1.000052
1.920000,1.000053
1.970000,1.000054
2.020000,1.000055
2.070000,1.000056
2.120000,1.000057
2.170000,1.000058
2.220000,1.000059
2.270000,1.000060
2.320000,1.000061
2.370000,1.000062
2.420000,1.000063
2.470000,1.000064
2.520000,1.000065
2.570000,1.000066
2.620000,1.000067
2.670000,1.000067
2.720000,1.000068
2.770000,1.000069
2.820000,1.000070
2.870000,1.000071
2.920000,1.000071
2.970000,1.000072
3.020000,1.000073
3.070000,1.000074
3.120000,1.000074
3.170000,1.000075
3.220000,1.000076
3.270000,1.000076
3.320000,1.000077
3.370000,1.000078
3.420000,1.000078
3.470000,1.000079
3.520000,1.000080
3.570000,1.000080
3.620000,1.000081
3.670000,1.000081
3.720000,1.000082
3.770000,1.000082
3.820000,1.000083
3.870000,1.000083
3.920000,1.000084
3.970000,1.000084
4.020000,1.000085
4.070000,1.000085
4.120000,1.000086
4.170000,1.000086
4.220000,1.000087
4.270000,1.000087
4.320000,1.000088
4.370000,1.000088
4.420000,1.000088
4.470000,1.000089
4.520000,1.000089
4.570000,1.000089
4.620000,1.000090
4.670000,1.000090
4.720000,1.000090
4.770000,1.000091
4.820000,1.000091
4.870000,1.000091
4.920000,1.000091
4.970000,1.000092
5.010000,1.000271
5.035000,1.000753
5.060000,1.001257
5.085000,1.001789
5.115000,1.002458
5.140000,1.003048
5.165000,1.003676
5.190000,1.004345
5.208750,1.004647
5.227500,1.004707
5.246250,1.004811
5.271250,1.005021
5.296250,1.005309
5.321250,1.005669
5.346250,1.006093
5.371250,1.006572
5.396250,1.007101
5.421250,1.007671
5.446250,1.008276
5.471250,1.008910
5.496250,1.009567
5.521250,1.010241
5.546250,1.010927
5.571250,1.011620
5.606250,1.012594
5.636250,1.013423
5.661250,1.014105
5.701250,1.015168
5.736250,1.016054
5.771250,1.016884
5.806250,1.017642
5.836250,1.013987
5.861250,1.014344
5.886250,1.014689
5.911250,1.015031
5.936250,1.015370
5.961250,1.015706
5.986250,1.016041
6.011250,1.016375
6.036250,1.016711
6.066250,1.017122
6.091250,1.017474
6.116250,1.017839
6.141250,1.018219
6.166250,1.018614
6.191250,1.019024
