t,omega
0.000000,1.000000
0.030000,1.000001
0.060000,1.000001
0.085000,1.000002
0.120000,1.000003
0.150000,1.000004
0.180000,1.000005
0.210000,1.000006
0.245000,1.000007
0.280000,1.000008
0.310000,1.000009
0.340000,1.000011
0.365000,1.000012
0.390000,1.000013
0.420000,1.000014
0.445000,1.000015
0.470000,1.000016
0.500000,1.000018
0.535000,1.000019
0.575000,1.000021
0.620000,1.000023
0.670000,1.000025
0.720000,1.000027
0.770000,1.000028
0.820000,1.000030
0.870000,1.000032
0.920000,1.000033
0.970000,1.000035
1.020000,1.000036
1.070000,1.000037
1.120000,1.000039
1.170000,1.000040
1.220000,1.000042
1.270000,1.000043
1.320000,1.000044
1.370000,1.000046
1.420000,1.000048
1.470000,1.000049
1.520000,1.000051
1.570000,1.000052
1.620000,1.000054
1.670000,1.000055
1.720000,1.000056
1.770000,1.000058
1.820000,1.000059
1.870000,1.000060
1.920000,1.000061
1.970000,1.000062
2.020000,1.000063
2.070000,1.000065
2.120000,1.000066
2.170000,1.000067
2.220000,1.000068
2.270000,1.000069
2.320000,1.000070
2.370000,1.000071
2.420000,1.000073
2.470000,1.000074
2.520000,1.000075
2.570000,1.000076
2.620000,1.000077
2.670000,1.000078
2.720000,1.000079
2.770000,1.000080
2.820000,1.000080
2.870000,1.000081
2.920000,1.000082
2.970000,1.000083
3.020000,1.000084
3.070000,1.000085
3.120000,1.000086
3.170000,1.000087
3.220000,1.000087
3.270000,1.000088
3.320000,1.000089
3.370000,1.000090
3.420000,1.000091
3.470000,1.000091
3.520000,1.000092
3.570000,1.000093
3.620000,1.000093
3.670000,1.000094
3.720000,1.000095
3.770000,1.000095
3.820000,1.000096
3.870000,1.000097
3.920000,1.000097
3.970000,1.000098
4.020000,1.000098
4.070000,1.000099
4.120000,1.000100
4.170000,1.000100
4.220000,1.000101
4.270000,1.000101
4.320000,1.000102
4.370000,1.000102
4.420000,1.000103
4.470000,1.000103
4.520000,1.000103
4.570000,1.000104
4.620000,1.000104
4.670000,1.000105
4.720000,1.000105
4.770000,1.000105
4.820000,1.000106
4.870000,1.000106
4.920000,1.000106
4.970000,1.000107
5.010000,1.000287
5.035000,1.000776
5.060000,1.001289
5.085000,1.001830
5.110000,1.002396
5.135000,1.002989
5.160000,1.003623
5.185000,1.004300
5.206250,1.004748
5.222500,1.004803
5.241250,1.004905
5.266250,1.005112
5.291250,1.005399
5.316250,1.005761
5.341250,1.006188
5.366250,1.006674
5.391250,1.007212
5.416250,1.007794
5.441250,1.008413
5.466250,1.009063
5.491250,1.009738
5.516250,1.010432
5.541250,1.011139
5.566250,1.011855
5.601250,1.012865
5.626250,1.013585
5.656250,1.014443
5.681250,1.015148
5.711250,1.015976
5.736250,1.016645
5.766250,1.017417
5.801250,1.018261
5.826250,1.015272
5.851250,1.015637
5.876250,1.015955
5.901250,1.016224
5.931250,1.016481
5.966250,1.016695
5.996250,1.016812
6.031250,1.016884
6.061250,1.016905
6.086250,1.016908
6.121250,1.016912
6.166250,1.016968
6.196250,1.017070
6.226250,1.017253
