t,omega
0.000000,1.000000
0.030000,1.000001
0.070000,1.000002
0.100000,1.000002
0.130000,1.000003
0.160000,1.000004
0.195000,1.000005
0.240000,1.000006
0.280000,1.000008
0.310000,1.000009
0.340000,1.000010
0.365000,1.000011
0.390000,1.000012
0.415000,1.000012
0.440000,1.000013
0.465000,1.000014
0.500000,1.000016
0.540000,1.000017
0.590000,1.000019
0.640000,1.000021
0.690000,1.000023
0.740000,1.000024
0.790000,1.000026
0.840000,1.000027
0.890000,1.000029
0.940000,1.000030
0.990000,1.000031
1.040000,1.000032
1.090000,1.000033
1.140000,1.000034
1.190000,1.000036
1.240000,1.000037
1.290000,1.000038
1.340000,1.000039
1.390000,1.000041
1.440000,1.000042
1.490000,1.000043
1.540000,1.000045
1.590000,1.000046
1.640000,1.000047
1.690000,1.000048
1.740000,1.000049
1.790000,1.000051
1.840000,1.000052
1.890000,1.000053
1.940000,1.000054
1.990000,1.000055
2.040000,1.000055
2.090000,1.000056
2.140000,1.000057
2.190000,1.000058
2.240000,1.000059
2.290000,1.000060
2.340000,1.000061
2.390000,1.000062
2.440000,1.000063
2.490000,1.000064
2.540000,1.000065
2.590000,1.000066
2.640000,1.000067
2.690000,1.000067
2.740000,1.000068
2.790000,1.000069
2.840000,1.000070
2.890000,1.000070
2.940000,1.000071
2.990000,1.000072
3.040000,1.000073
3.090000,1.000073
3.140000,1.000074
3.190000,1.000075
3.240000,1.000076
3.290000,1.000076
3.340000,1.000077
3.390000,1.000078
3.440000,1.000078
3.490000,1.000079
3.540000,1.000079
3.590000,1.000080
3.640000,1.000080
3.690000,1.000081
3.740000,1.000081
3.790000,1.000082
3.840000,1.000082
3.890000,1.000083
3.940000,1.000083
3.990000,1.000084
4.040000,1.000084
4.090000,1.000085
4.140000,1.000085
4.190000,1.000086
4.240000,1.000086
4.290000,1.000087
4.340000,1.000087
4.390000,1.000088
4.440000,1.000088
4.490000,1.000088
4.540000,1.000089
4.590000,1.000089
4.640000,1.000089
4.690000,1.000089
4.740000,1.000090
4.790000,1.000090
4.840000,1.000090
4.890000,1.000091
4.940000,1.000091
4.990000,1.000091
5.020000,1.000460
5.045000,1.000952
5.070000,1.001464
5.095000,1.002002
5.120000,1.002555
5.145000,1.003140
5.170000,1.003761
5.195000,1.004420
5.213750,1.004562
5.232500,1.004593
5.257500,1.004706
5.282500,1.004901
5.307500,1.005174
5.332500,1.005519
5.357500,1.005927
5.382500,1.006390
5.407500,1.006900
5.432500,1.007450
5.457500,1.008033
5.482500,1.008645
5.507500,1.009278
5.532500,1.009928
5.557500,1.010590
5.582500,1.011258
5.607500,1.011929
5.642500,1.012863
5.682500,1.013910
5.717500,1.014793
5.762500,1.015861
5.802500,1.016723
5.837500,1.017390
5.862500,1.013728
5.887500,1.014097
5.912500,1.014456
5.937500,1.014810
5.962500,1.015164
5.987500,1.015523
6.012500,1.015890
6.037500,1.016267
6.062500,1.016653
6.087500,1.017049
6.112500,1.017453
6.137500,1.017868
6.162500,1.018292
6.187500,1.018727
6.217500,1.019261
6.242500,1.019715
