t,omega
0.000000,1.000000
0.030000,1.000001
0.065000,1.000002
0.090000,1.000002
0.115000,1.000003
0.145000,1.000004
0.170000,1.000004
0.195000,1.000005
0.230000,1.000006
0.270000,1.000008
0.295000,1.000009
0.325000,1.000010
0.350000,1.000011
0.375000,1.000012
0.405000,1.000013
0.430000,1.000014
0.455000,1.000015
0.490000,1.000016
0.525000,1.000018
0.570000,1.000020
0.620000,1.000022
0.670000,1.000024
0.720000,1.000025
0.770000,1.000027
0.820000,1.000029
0.870000,1.000030
0.920000,1.000032
0.970000,1.000033
1.020000,1.000034
1.070000,1.000036
1.120000,1.000037
1.170000,1.000038
1.220000,1.000040
1.270000,1.000041
1.320000,1.000042
1.370000,1.000044
1.420000,1.000045
1.470000,1.000047
1.520000,1.000048
1.570000,1.000050
1.620000,1.000051
1.670000,1.000052
1.720000,1.000054
1.770000,1.000055
1.820000,1.000056
1.870000,1.000057
1.920000,1.000058
1.970000,1.000059
2.020000,1.000061
2.070000,1.000062
2.120000,1.000063
2.170000,1.000064
2.220000,1.000065
2.270000,1.000066
2.320000,1.000067
2.370000,1.000068
2.420000,1.000069
2.470000,1.000070
2.520000,1.000071
2.570000,1.000072
2.620000,1.000073
2.670000,1.000074
2.720000,1.000075
2.770000,1.000076
2.820000,1.000077
2.870000,1.000078
2.920000,1.000078
2.970000,1.000079
3.020000,1.000080
3.070000,1.000081
3.120000,1.000082
3.170000,1.000083
3.220000,1.000083
3.270000,1.000084
3.320000,1.000085
3.370000,1.000086
3.420000,1.000086
3.470000,1.000087
3.520000,1.000088
3.570000,1.000088
3.620000,1.000089
3.670000,1.000090
3.720000,1.000090
3.770000,1.000091
3.820000,1.000091
3.870000,1.000092
3.920000,1.000093
3.970000,1.000093
4.020000,1.000094
4.070000,1.000094
4.120000,1.000095
4.170000,1.000095
4.220000,1.000096
4.270000,1.000096
4.320000,1.000097
4.370000,1.000097
4.420000,1.000098
4.470000,1.000098
4.520000,1.000099
4.570000,1.000099
4.620000,1.000099
4.670000,1.000100
4.720000,1.000100
4.770000,1.000100
4.820000,1.000101
4.870000,1.000101
4.920000,1.000101
4.970000,1.000102
5.010000,1.000283
5.035000,1.000776
5.060000,1.001297
5.085000,1.001847
5.110000,1.002425
5.135000,1.003031
5.160000,1.003678
5.185000,1.004371
5.208750,1.004844
5.223750,1.004912
5.240000,1.005013
5.265000,1.005237
5.290000,1.005540
5.315000,1.005915
5.340000,1.006355
5.365000,1.006854
5.390000,1.007402
5.415000,1.007994
5.440000,1.008623
5.465000,1.009282
5.490000,1.009965
5.515000,1.010667
5.540000,1.011384
5.565000,1.012111
5.590000,1.012844
5.620000,1.013725
5.650000,1.014603
5.680000,1.015469
5.710000,1.016319
5.740000,1.017143
5.765000,1.017805
5.795000,1.018564
5.820000,1.015898
5.845000,1.016297
5.870000,1.016639
5.900000,1.016966
5.935000,1.017227
5.965000,1.017345
5.995000,1.017340
6.025000,1.017230
6.055000,1.017053
6.085000,1.016814
6.115000,1.016522
6.150000,1.016215
6.185000,1.015979
6.220000,1.015849
