t,omega
0.000000,1.000000
0.030000,1.000001
0.060000,1.000001
0.085000,1.000002
0.110000,1.000003
0.140000,1.000003
0.180000,1.000005
0.220000,1.000006
0.260000,1.000007
0.290000,1.000008
0.315000,1.000009
0.345000,1.000010
0.370000,1.000011
0.395000,1.000012
0.425000,1.000013
0.450000,1.000014
0.480000,1.000015
0.510000,1.000017
0.560000,1.000019
0.610000,1.000021
0.660000,1.000022
0.710000,1.000024
0.760000,1.000026
0.810000,1.000027
0.860000,1.000029
0.910000,1.000030
0.960000,1.000031
1.010000,1.000033
1.060000,1.000034
1.110000,1.000035
1.160000,1.000036
1.210000,1.000038
1.260000,1.000039
1.310000,1.000040
1.360000,1.000042
1.410000,1.000043
1.460000,1.000044
1.510000,1.000046
1.560000,1.000047
1.610000,1.000049
1.660000,1.000050
1.710000,1.000051
1.760000,1.000052
1.810000,1.000053
1.860000,1.000054
1.910000,1.000055
1.960000,1.000056
2.010000,1.000057
2.060000,1.000058
2.110000,1.000059
2.160000,1.000060
2.210000,1.000062
2.260000,1.000063
2.310000,1.000064
2.360000,1.000065
2.410000,1.000066
2.460000,1.000067
2.510000,1.000067
2.560000,1.000068
2.610000,1.000069
2.660000,1.000070
2.710000,1.000071
2.760000,1.000072
2.810000,1.000073
2.860000,1.000073
2.910000,1.000074
2.960000,1.000075
3.010000,1.000076
3.060000,1.000077
3.110000,1.000077
3.160000,1.000078
3.210000,1.000079
3.260000,1.000080
3.310000,1.000080
3.360000,1.000081
3.410000,1.000082
3.460000,1.000082
3.510000,1.000083
3.560000,1.000084
3.610000,1.000084
3.660000,1.000085
3.710000,1.000085
3.760000,1.000086
3.810000,1.000086
3.860000,1.000087
3.910000,1.000087
3.960000,1.000088
4.010000,1.000088
4.060000,1.000089
4.110000,1.000089
4.160000,1.000090
4.210000,1.000090
4.260000,1.000091
4.310000,1.000091
4.360000,1.000092
4.410000,1.000092
4.460000,1.000093
4.510000,1.000093
4.560000,1.000093
4.610000,1.000094
4.660000,1.000094
4.710000,1.000094
4.760000,1.000095
4.810000,1.000095
4.860000,1.000095
4.910000,1.000095
4.960000,1.000096
5.005000,1.000182
5.030000,1.000646
5.055000,1.001127
5.080000,1.001628
5.105000,1.002153
5.130000,1.002693
5.155000,1.003270
5.180000,1.003879
5.205000,1.004396
5.223750,1.004404
5.248750,1.004491
5.273750,1.004665
5.303750,1.004976
5.328750,1.005311
5.353750,1.005706
5.378750,1.006154
5.403750,1.006649
5.428750,1.007183
5.453750,1.007751
5.478750,1.008346
5.503750,1.008961
5.528750,1.009594
5.553750,1.010238
5.583750,1.011018
5.613750,1.011799
5.643750,1.012573
5.668750,1.013207
5.698750,1.013946
5.728750,1.014655
5.753750,1.015213
5.778750,1.015738
5.808750,1.016313
5.838750,1.016820
5.868750,1.017249
5.898750,1.017588
5.928750,1.017830
5.963750,1.017979
5.998750,1.017978
6.028750,1.017856
6.058750,1.017623
6.093750,1.017220
6.123750,1.016769
6.153750,1.016234
6.183750,1.015627
6.228750,1.014613
6.258750,1.013889
6.293750,1.013022
