t,omega
0.000000,1.000000
0.030000,1.000001
0.060000,1.000001
0.090000,1.000002
0.120000,1.000003
0.150000,1.000004
0.175000,1.000004
0.210000,1.000005
0.255000,1.000007
0.280000,1.000008
0.310000,1.000009
0.335000,1.000010
0.360000,1.000011
0.385000,1.000012
0.410000,1.000013
0.440000,1.000014
0.475000,1.000015
0.510000,1.000017
0.560000,1.000019
0.610000,1.000021
0.660000,1.000022
0.710000,1.000024
0.760000,1.000026
0.810000,1.000027
0.860000,1.000029
0.910000,1.000030
0.960000,1.000032
1.010000,1.000033
1.060000,1.000034
1.110000,1.000035
1.160000,1.000036
1.210000,1.000038
1.260000,1.000039
1.310000,1.000040
1.360000,1.000042
1.410000,1.000043
1.460000,1.000045
1.510000,1.000046
1.560000,1.000047
1.610000,1.000049
1.660000,1.000050
1.710000,1.000051
1.760000,1.000052
1.810000,1.000053
1.860000,1.000054
1.910000,1.000056
1.960000,1.000057
2.010000,1.000058
2.060000,1.000059
2.110000,1.000060
2.160000,1.000061
2.210000,1.000062
2.260000,1.000063
2.310000,1.000064
2.360000,1.000065
2.410000,1.000066
2.460000,1.000067
2.510000,1.000068
2.560000,1.000069
2.610000,1.000069
2.660000,1.000070
2.710000,1.000071
2.760000,1.000072
2.810000,1.000073
2.860000,1.000074
2.910000,1.000074
2.960000,1.000075
3.010000,1.000076
3.060000,1.000077
3.110000,1.000078
3.160000,1.000078
3.210000,1.000079
3.260000,1.000080
3.310000,1.000080
3.360000,1.000081
3.410000,1.000082
3.460000,1.000083
3.510000,1.000083
3.560000,1.000084
3.610000,1.000084
3.660000,1.000085
3.710000,1.000085
3.760000,1.000086
3.810000,1.000087
3.860000,1.000087
3.910000,1.000088
3.960000,1.000088
4.010000,1.000089
4.060000,1.000089
4.110000,1.000090
4.160000,1.000090
4.210000,1.000091
4.260000,1.000091
4.310000,1.000092
4.360000,1.000092
4.410000,1.000092
4.460000,1.000093
4.510000,1.000093
4.560000,1.000094
4.610000,1.000094
4.660000,1.000094
4.710000,1.000095
4.760000,1.000095
4.810000,1.000095
4.860000,1.000095
4.910000,1.000096
4.960000,1.000096
5.005000,1.000182
5.030000,1.000657
5.055000,1.001153
5.080000,1.001673
5.105000,1.002218
5.130000,1.002782
5.155000,1.003386
5.180000,1.004025
5.205000,1.004573
5.225000,1.004605
5.250000,1.004720
5.275000,1.004919
5.300000,1.005195
5.325000,1.005539
5.350000,1.005943
5.375000,1.006401
5.400000,1.006904
5.425000,1.007447
5.450000,1.008022
5.475000,1.008625
5.500000,1.009249
5.525000,1.009890
5.550000,1.010543
5.580000,1.011336
5.610000,1.012131
5.640000,1.012921
5.680000,1.013953
5.715000,1.014821
5.755000,1.015758
5.795000,1.016615
5.835000,1.017368
5.860000,1.013729
5.885000,1.014119
5.910000,1.014482
5.940000,1.014898
5.965000,1.015235
5.990000,1.015567
6.015000,1.015901
6.040000,1.016240
6.070000,1.016657
6.095000,1.017015
6.120000,1.017384
6.145000,1.017765
6.170000,1.018157
6.195000,1.018560
6.220000,1.018974
6.245000,1.019398
