t,omega
0.000000,1.000000
0.030000,1.000001
0.065000,1.000002
0.095000,1.000002
0.120000,1.000003
0.155000,1.000004
0.180000,1.000005
0.210000,1.000006
0.240000,1.000007
0.270000,1.000008
0.300000,1.000009
0.325000,1.000010
0.350000,1.000011
0.375000,1.000012
0.400000,1.000013
0.425000,1.000014
0.455000,1.000015
0.485000,1.000017
0.530000,1.000019
0.580000,1.000021
0.630000,1.000023
0.680000,1.000025
0.730000,1.000027
0.780000,1.000029
0.830000,1.000030
0.880000,1.000032
0.930000,1.000033
0.980000,1.000035
1.030000,1.000036
1.080000,1.000037
1.130000,1.000039
1.180000,1.000040
1.230000,1.000042
1.280000,1.000043
1.330000,1.000045
1.380000,1.000046
1.430000,1.000048
1.480000,1.000049
1.530000,1.000051
1.580000,1.000052
1.630000,1.000054
1.680000,1.000055
1.730000,1.000056
1.780000,1.000058
1.830000,1.000059
1.880000,1.000060
1.930000,1.000061
1.980000,1.000062
2.030000,1.000063
2.080000,1.000065
2.130000,1.000066
2.180000,1.000067
2.230000,1.000068
2.280000,1.000069
2.330000,1.000070
2.380000,1.000071
2.430000,1.000073
2.480000,1.000074
2.530000,1.000075
2.580000,1.000076
2.630000,1.000077
2.680000,1.000078
2.730000,1.000079
2.780000,1.000080
2.830000,1.000080
2.880000,1.000081
2.930000,1.000082
2.980000,1.000083
3.030000,1.000084
3.080000,1.000085
3.130000,1.000086
3.180000,1.000087
3.230000,1.000087
3.280000,1.000088
3.330000,1.000089
3.380000,1.000090
3.430000,1.000091
3.480000,1.000091
3.530000,1.000092
3.580000,1.000093
3.630000,1.000093
3.680000,1.000094
3.730000,1.000095
3.780000,1.000095
3.830000,1.000096
3.880000,1.000096
3.930000,1.000097
3.980000,1.000098
4.030000,1.000098
4.080000,1.000099
4.130000,1.000099
4.180000,1.000100
4.230000,1.000101
4.280000,1.000101
4.330000,1.000102
4.380000,1.000102
4.430000,1.000102
4.480000,1.000103
4.530000,1.000103
4.580000,1.000104
4.630000,1.000104
4.680000,1.000104
4.730000,1.000105
4.780000,1.000105
4.830000,1.000106
4.880000,1.000106
4.930000,1.000106
4.980000,1.000107
5.015000,1.000384
5.040000,1.000881
5.065000,1.001403
5.090000,1.001954
5.115000,1.002529
5.140000,1.003136
5.165000,1.003782
5.190000,1.004469
5.208750,1.004777
5.223750,1.004820
5.242500,1.004912
5.265000,1.005082
5.290000,1.005345
5.315000,1.005680
5.340000,1.006079
5.365000,1.006536
5.390000,1.007042
5.415000,1.007592
5.440000,1.008178
5.465000,1.008793
5.490000,1.009432
5.515000,1.010089
5.540000,1.010759
5.570000,1.011573
5.600000,1.012391
5.630000,1.013207
5.665000,1.014145
5.690000,1.014800
5.720000,1.015564
5.750000,1.016294
5.785000,1.017091
5.815000,1.013884
5.840000,1.014213
5.865000,1.014509
5.890000,1.014764
5.915000,1.014981
5.940000,1.015162
5.970000,1.015335
5.995000,1.015449
6.030000,1.015577
6.055000,1.015659
6.080000,1.015747
6.115000,1.015905
6.140000,1.016061
6.165000,1.016270
6.190000,1.016538
