time	V4_0	V4_1	V4_2	V4_3	V4_4	V4_5	V4_6	V4_7	V4_8	V4_9	V4_10	V4_11	V4_12	V4_13	V4_14	V4_15	V4_16	V4_17	V4_18	V4_19	V4_20	V4_21	V4_22	V4_23	V4_24	V4_25	V4_26	V4_27	V4_28	V4_29	V4_30	V4_31	V4_32	V4_33	V4_34	V4_35	V4_36	V4_37	V4_38	V4_39	V4_40	V4_41	V4_42	V4_43	V4_44	V4_45	V4_46	V4_47	V4_48	V4_49
0.4	1.000438	1.000444	1.000391	1.000447	1.000438	1.000362	1.000437	1.000419	1.000373	1.000417	1.000409	1.000437	1.000329	1.000414	1.000436	1.000466	1.000435	1.000297	1.000431	1.000342	1.000416	1.000412	1.000374	1.000407	1.000443	1.000324	1.000448	1.00045	1.000373	1.000394	1.000418	1.00042	1.000429	1.000424	1.000466	1.00036	1.000414	1.000438	1.000448	1.000413	1.000391	1.00036	1.000447	1.000445	1.000428	1.000386	1.000347	1.00044	1.000441	1.000442
0.42	1.000438	1.000443	1.000391	1.000447	1.000438	1.000362	1.000437	1.000419	1.000373	1.000417	1.000409	1.000437	1.000329	1.000414	1.000436	1.000465	1.000434	1.000297	1.000431	1.000342	1.000416	1.000412	1.000374	1.000407	1.000443	1.000324	1.000448	1.00045	1.000373	1.000394	1.000418	1.00042	1.000429	1.000424	1.000465	1.00036	1.000414	1.000438	1.000448	1.000412	1.00039	1.00036	1.000447	1.000445	1.000427	1.000386	1.000347	1.00044	1.00044	1.000442
0.44	1.000438	1.000443	1.000391	1.000446	1.000438	1.000362	1.000437	1.000419	1.000373	1.000417	1.000409	1.000437	1.000329	1.000414	1.000435	1.000465	1.000434	1.000297	1.00043	1.000342	1.000416	1.000411	1.000374	1.000407	1.000443	1.000324	1.000447	1.000449	1.000373	1.000394	1.000417	1.000419	1.000428	1.000423	1.000465	1.00036	1.000414	1.000438	1.000447	1.000412	1.00039	1.00036	1.000446	1.000445	1.000427	1.000386	1.000347	1.000439	1.00044	1.000442
0.46	1.000437	1.000442	1.00039	1.000446	1.000437	1.000362	1.000436	1.000419	1.000373	1.000417	1.000409	1.000436	1.000329	1.000414	1.000435	1.000464	1.000434	1.000297	1.00043	1.000342	1.000416	1.000411	1.000374	1.000407	1.000442	1.000325	1.000447	1.000449	1.000373	1.000394	1.000417	1.000419	1.000428	1.000423	1.000465	1.00036	1.000414	1.000438	1.000447	1.000412	1.00039	1.00036	1.000446	1.000445	1.000427	1.000386	1.000347	1.000439	1.00044	1.000442
0.48	1.000437	1.000442	1.00039	1.000445	1.000437	1.000362	1.000436	1.000419	1.000373	1.000417	1.000408	1.000436	1.000329	1.000413	1.000435	1.000464	1.000433	1.000298	1.00043	1.000342	1.000416	1.000411	1.000374	1.000407	1.000442	1.000325	1.000447	1.000449	1.000373	1.000394	1.000417	1.000419	1.000428	1.000423	1.000465	1.000359	1.000414	1.000437	1.000447	1.000412	1.000389	1.00036	1.000446	1.000444	1.000427	1.000386	1.000346	1.000438	1.000439	1.000442
0.5	1.000437	1.000441	1.00039	1.000445	1.000437	1.000362	1.000435	1.000418	1.000373	1.000417	1.000408	1.000436	1.00033	1.000413	1.000434	1.000464	1.000433	1.000298	1.00043	1.000342	1.000416	1.000411	1.000374	1.000407	1.000442	1.000325	1.000446	1.000449	1.000373	1.000394	1.000416	1.000419	1.000427	1.000423	1.000464	1.000359	1.000413	1.000437	1.000447	1.000412	1.000389	1.00036	1.000445	1.000444	1.000427	1.000385	1.000346	1.000438	1.000439	1.000442
0.52	1.000436	1.000441	1.00039	1.000444	1.000437	1.000362	1.000435	1.000418	1.000373	1.000417	1.000408	1.000436	1.00033	1.000413	1.000434	1.000463	1.000433	1.000298	1.000429	1.000342	1.000415	1.00041	1.000374	1.000407	1.000442	1.000325	1.000446	1.000449	1.000373	1.000394	1.000416	1.000419	1.000427	1.000422	1.000464	1.000359	1.000413	1.000437	1.000447	1.000412	1.000389	1.00036	1.000445	1.000444	1.000426	1.000385	1.000346	1.000438	1.000439	1.000442
0.54	1.000436	1.000441	1.00039	1.000444	1.000436	1.000363	1.000435	1.000418	1.000373	1.000417	1.000408	1.000436	1.00033	1.000413	1.000434	1.000463	1.000433	1.000298	1.000429	1.000342	1.000415	1.00041	1.000374	1.000407	1.000442	1.000325	1.000446	1.000449	1.000373	1.000394	1.000416	1.000419	1.000427	1.000422	1.000464	1.000359	1.000413	1.000437	1.000446	1.000412	1.000389	1.00036	1.000445	1.000444	1.000426	1.000385	1.000346	1.000438	1.000439	1.000442
0.56	1.000436	1.00044	1.000389	1.000443	1.000436	1.000363	1.000434	1.000418	1.000373	1.000417	1.000408	1.000435	1.00033	1.000413	1.000434	1.000462	1.000432	1.000299	1.000429	1.000342	1.000415	1.00041	1.000374	1.000407	1.000441	1.000325	1.000446	1.000449	1.000372	1.000394	1.000416	1.000419	1.000427	1.000422	1.000464	1.000359	1.000413	1.000437	1.000446	1.000412	1.000388	1.00036	1.000445	1.000444	1.000426	1.000385	1.000346	1.000437	1.000439	1.000442
0.58	1.000436	1.00044	1.000389	1.000443	1.000436	1.000363	1.000434	1.000418	1.000373	1.000417	1.000407	1.000435	1.00033	1.000413	1.000433	1.000462	1.000432	1.000299	1.000429	1.000342	1.000415	1.00041	1.000374	1.000407	1.000441	1.000325	1.000446	1.000449	1.000372	1.000394	1.000415	1.000419	1.000426	1.000422	1.000463	1.000359	1.000413	1.000437	1.000446	1.000411	1.000388	1.00036	1.000445	1.000443	1.000426	1.000385	1.000346	1.000437	1.000438	1.000442
0.6	1.000436	1.00044	1.000389	1.000442	1.000436	1.000363	1.000434	1.000418	1.000373	1.000417	1.000407	1.000435	1.000331	1.000413	1.000433	1.000462	1.000432	1.000299	1.000428	1.000342	1.000415	1.00041	1.000374	1.000407	1.000441	1.000325	1.000445	1.000449	1.000372	1.000394	1.000415	1.000419	1.000426	1.000422	1.000463	1.000359	1.000413	1.000437	1.000446	1.000411	1.000388	1.00036	1.000444	1.000443	1.000426	1.000385	1.000346	1.000437	1.000438	1.000442
0.62	1.000436	1.000439	1.000389	1.000442	1.000436	1.000363	1.000434	1.000418	1.000373	1.000417	1.000407	1.000435	1.000331	1.000413	1.000433	1.000462	1.000432	1.0003	1.000428	1.000342	1.000415	1.00041	1.000374	1.000407	1.000441	1.000325	1.000445	1.000448	1.000372	1.000394	1.000415	1.000419	1.000426	1.000422	1.000463	1.00036	1.000413	1.000437	1.000446	1.000411	1.000388	1.00036	1.000444	1.000443	1.000426	1.000385	1.000347	1.000437	1.000438	1.000442
0.64	1.000436	1.000439	1.000389	1.000442	1.000436	1.000363	1.000433	1.000418	1.000373	1.000417	1.000407	1.000435	1.000331	1.000413	1.000433	1.000461	1.000432	1.0003	1.000428	1.000342	1.000415	1.000409	1.000374	1.000407	1.000441	1.000326	1.000445	1.000448	1.000372	1.000394	1.000415	1.000419	1.000426	1.000422	1.000463	1.00036	1.000413	1.000437	1.000446	1.000412	1.000388	1.000361	1.000444	1.000443	1.000426	1.000385	1.000347	1.000437	1.000438	1.000442
0.66	1.000436	1.000439	1.000389	1.000441	1.000436	1.000364	1.000433	1.000418	1.000373	1.000417	1.000407	1.000435	1.000332	1.000413	1.000433	1.000461	1.000432	1.0003	1.000428	1.000343	1.000415	1.000409	1.000374	1.000407	1.000441	1.000326	1.000445	1.000448	1.000372	1.000394	1.000415	1.000419	1.000426	1.000422	1.000463	1.00036	1.000413	1.000437	1.000446	1.000412	1.000388	1.000361	1.000444	1.000443	1.000426	1.000385	1.000347	1.000436	1.000438	1.000442
0.68	1.000436	1.000439	1.000389	1.000441	1.000436	1.000364	1.000433	1.000418	1.000374	1.000417	1.000407	1.000435	1.000332	1.000413	1.000433	1.000461	1.000432	1.000301	1.000428	1.000343	1.000415	1.000409	1.000374	1.000407	1.000441	1.000326	1.000445	1.000449	1.000372	1.000395	1.000415	1.000419	1.000426	1.000422	1.000463	1.00036	1.000413	1.000437	1.000446	1.000412	1.000388	1.000361	1.000444	1.000443	1.000426	1.000385	1.000347	1.000436	1.000438	1.000442
0.7	1.000436	1.000439	1.000389	1.000441	1.000436	1.000364	1.000433	1.000418	1.000374	1.000417	1.000407	1.000435	1.000332	1.000414	1.000433	1.000461	1.000432	1.000301	1.000428	1.000343	1.000415	1.000409	1.000375	1.000407	1.000441	1.000326	1.000445	1.000449	1.000373	1.000395	1.000415	1.000419	1.000426	1.000422	1.000463	1.00036	1.000413	1.000437	1.000446	1.000412	1.000388	1.000361	1.000444	1.000443	1.000426	1.000386	1.000347	1.000436	1.000438	1.000442
