time	V4_0	V4_1	V4_2	V4_3	V4_4	V4_5	V4_6	V4_7	V4_8	V4_9	V4_10	V4_11	V4_12	V4_13	V4_14	V4_15	V4_16	V4_17	V4_18	V4_19	V4_20	V4_21	V4_22	V4_23	V4_24	V4_25	V4_26	V4_27	V4_28	V4_29	V4_30	V4_31	V4_32	V4_33	V4_34	V4_35	V4_36	V4_37	V4_38	V4_39	V4_40	V4_41	V4_42	V4_43	V4_44	V4_45	V4_46	V4_47	V4_48	V4_49
0.72	1.000436	1.000439	1.000389	1.000441	1.000436	1.000364	1.000433	1.000418	1.000374	1.000417	1.000407	1.000435	1.000333	1.000414	1.000433	1.000461	1.000432	1.000302	1.000428	1.000343	1.000416	1.000409	1.000375	1.000407	1.000441	1.000327	1.000445	1.000449	1.000373	1.000395	1.000415	1.000419	1.000426	1.000422	1.000463	1.00036	1.000414	1.000437	1.000446	1.000412	1.000388	1.000361	1.000444	1.000443	1.000426	1.000386	1.000347	1.000436	1.000438	1.000442
0.74	1.000436	1.000439	1.00039	1.000441	1.000436	1.000365	1.000433	1.000418	1.000374	1.000417	1.000407	1.000435	1.000333	1.000414	1.000433	1.000461	1.000432	1.000302	1.000428	1.000344	1.000416	1.00041	1.000375	1.000407	1.000441	1.000327	1.000445	1.000449	1.000373	1.000395	1.000415	1.000419	1.000426	1.000422	1.000463	1.000361	1.000414	1.000437	1.000446	1.000412	1.000388	1.000362	1.000444	1.000443	1.000426	1.000386	1.000348	1.000436	1.000438	1.000442
0.76	1.000436	1.000439	1.00039	1.000441	1.000436	1.000365	1.000433	1.000418	1.000375	1.000417	1.000407	1.000435	1.000334	1.000414	1.000433	1.000461	1.000432	1.000302	1.000428	1.000344	1.000416	1.00041	1.000375	1.000408	1.000441	1.000327	1.000445	1.000449	1.000373	1.000395	1.000415	1.000419	1.000426	1.000422	1.000463	1.000361	1.000414	1.000437	1.000446	1.000412	1.000388	1.000362	1.000444	1.000443	1.000426	1.000386	1.000348	1.000436	1.000438	1.000442
0.78	1.000436	1.000439	1.00039	1.000441	1.000436	1.000365	1.000433	1.000418	1.000375	1.000418	1.000408	1.000436	1.000334	1.000414	1.000433	1.000461	1.000432	1.000303	1.000428	1.000344	1.000416	1.00041	1.000375	1.000408	1.000441	1.000328	1.000445	1.000449	1.000373	1.000396	1.000415	1.000419	1.000426	1.000422	1.000463	1.000361	1.000414	1.000437	1.000446	1.000412	1.000388	1.000362	1.000444	1.000444	1.000426	1.000386	1.000348	1.000436	1.000438	1.000442
0.8	1.000436	1.000439	1.00039	1.000441	1.000436	1.000366	1.000433	1.000419	1.000375	1.000418	1.000408	1.000436	1.000334	1.000414	1.000433	1.000461	1.000432	1.000303	1.000428	1.000345	1.000416	1.00041	1.000376	1.000408	1.000441	1.000328	1.000446	1.000449	1.000373	1.000396	1.000415	1.00042	1.000427	1.000423	1.000463	1.000361	1.000414	1.000437	1.000446	1.000413	1.000388	1.000363	1.000445	1.000444	1.000427	1.000387	1.000349	1.000437	1.000439	1.000442
0.82	1.000436	1.000439	1.00039	1.000441	1.000436	1.000366	1.000433	1.000419	1.000376	1.000418	1.000408	1.000436	1.000335	1.000415	1.000433	1.000461	1.000432	1.000304	1.000428	1.000345	1.000416	1.00041	1.000376	1.000408	1.000442	1.000329	1.000446	1.000449	1.000374	1.000396	1.000415	1.00042	1.000427	1.000423	1.000463	1.000362	1.000414	1.000437	1.000447	1.000413	1.000389	1.000363	1.000445	1.000444	1.000427	1.000387	1.000349	1.000437	1.000439	1.000443
0.84	1.000436	1.000439	1.000391	1.000441	1.000436	1.000367	1.000433	1.000419	1.000376	1.000418	1.000408	1.000436	1.000335	1.000415	1.000434	1.000461	1.000433	1.000304	1.000429	1.000345	1.000417	1.00041	1.000376	1.000409	1.000442	1.000329	1.000446	1.000449	1.000374	1.000396	1.000415	1.00042	1.000427	1.000423	1.000463	1.000362	1.000415	1.000438	1.000447	1.000413	1.000389	1.000363	1.000445	1.000444	1.000427	1.000387	1.000349	1.000437	1.000439	1.000443
0.86	1.000437	1.000439	1.000391	1.000441	1.000436	1.000367	1.000433	1.000419	1.000376	1.000418	1.000408	1.000436	1.000336	1.000415	1.000434	1.000461	1.000433	1.000305	1.000429	1.000346	1.000417	1.00041	1.000377	1.000409	1.000442	1.00033	1.000446	1.00045	1.000374	1.000397	1.000416	1.00042	1.000427	1.000423	1.000463	1.000362	1.000415	1.000438	1.000447	1.000413	1.000389	1.000364	1.000445	1.000444	1.000427	1.000388	1.000349	1.000437	1.000439	1.000443
0.88	1.000437	1.000439	1.000391	1.000441	1.000436	1.000367	1.000434	1.00042	1.000377	1.000419	1.000409	1.000436	1.000336	1.000415	1.000434	1.000461	1.000433	1.000305	1.000429	1.000346	1.000417	1.000411	1.000377	1.000409	1.000442	1.00033	1.000446	1.00045	1.000375	1.000397	1.000416	1.000421	1.000427	1.000423	1.000464	1.000363	1.000415	1.000438	1.000447	1.000414	1.000389	1.000364	1.000445	1.000444	1.000427	1.000388	1.00035	1.000437	1.000439	1.000443
0.9	1.000437	1.00044	1.000391	1.000442	1.000437	1.000368	1.000434	1.00042	1.000377	1.000419	1.000409	1.000437	1.000337	1.000416	1.000434	1.000462	1.000433	1.000305	1.000429	1.000347	1.000417	1.000411	1.000377	1.00041	1.000442	1.000331	1.000447	1.00045	1.000375	1.000397	1.000416	1.000421	1.000428	1.000424	1.000464	1.000363	1.000416	1.000438	1.000447	1.000414	1.00039	1.000364	1.000446	1.000445	1.000428	1.000388	1.00035	1.000438	1.00044	1.000443
0.92	1.000437	1.00044	1.000392	1.000442	1.000437	1.000368	1.000434	1.00042	1.000378	1.000419	1.000409	1.000437	1.000337	1.000416	1.000434	1.000462	1.000434	1.000306	1.000429	1.000347	1.000418	1.000411	1.000377	1.00041	1.000443	1.000331	1.000447	1.00045	1.000375	1.000398	1.000416	1.000421	1.000428	1.000424	1.000464	1.000363	1.000416	1.000438	1.000448	1.000414	1.00039	1.000365	1.000446	1.000445	1.000428	1.000389	1.000351	1.000438	1.00044	1.000444
0.94	1.000438	1.00044	1.000392	1.000442	1.000437	1.000369	1.000434	1.00042	1.000378	1.000419	1.00041	1.000437	1.000338	1.000416	1.000435	1.000462	1.000434	1.000306	1.00043	1.000347	1.000418	1.000411	1.000378	1.00041	1.000443	1.000332	1.000447	1.00045	1.000375	1.000398	1.000417	1.000422	1.000428	1.000424	1.000464	1.000364	1.000416	1.000439	1.000448	1.000414	1.00039	1.000365	1.000446	1.000445	1.000428	1.000389	1.000351	1.000438	1.00044	1.000444
0.96	1.000438	1.000441	1.000392	1.000443	1.000437	1.000369	1.000435	1.000421	1.000378	1.00042	1.00041	1.000437	1.000338	1.000416	1.000435	1.000462	1.000434	1.000307	1.00043	1.000348	1.000418	1.000412	1.000378	1.000411	1.000443	1.000332	1.000447	1.000451	1.000376	1.000398	1.000417	1.000422	1.000429	1.000425	1.000464	1.000364	1.000416	1.000439	1.000448	1.000415	1.000391	1.000366	1.000446	1.000446	1.000429	1.000389	1.000351	1.000439	1.000441	1.000444
0.98	1.000438	1.000441	1.000393	1.000443	1.000437	1.000369	1.000435	1.000421	1.000379	1.00042	1.00041	1.000437	1.000339	1.000417	1.000435	1.000462	1.000435	1.000307	1.00043	1.000348	1.000419	1.000412	1.000378	1.000411	1.000444	1.000333	1.000448	1.000451	1.000376	1.000398	1.000417	1.000422	1.000429	1.000425	1.000465	1.000365	1.000417	1.000439	1.000449	1.000415	1.000391	1.000366	1.000447	1.000446	1.000429	1.00039	1.000352	1.000439	1.000441	1.000444
1	1.000439	1.000441	1.000393	1.000443	1.000438	1.00037	1.000435	1.000421	1.000379	1.00042	1.000411	1.000438	1.000339	1.000417	1.000436	1.000463	1.000435	1.000307	1.000431	1.000349	1.000419	1.000412	1.000379	1.000411	1.000444	1.000333	1.000448	1.000451	1.000377	1.000399	1.000418	1.000423	1.000429	1.000425	1.000465	1.000365	1.000417	1.000439	1.000449	1.000415	1.000391	1.000366	1.000447	1.000446	1.000429	1.00039	1.000352	1.000439	1.000441	1.000445
