x   sigma   coverage    SE
68000   0.7932206543953186      0.2822807893648201      0.8419509787414963
68200   0.7908995071562281      0.2814542100530046      0.8394870474143871
68400   0.7886237479499091      0.280632146277503       0.837067391166852
68600   0.7864558748921967      0.27981429354897186     0.8347507903720492
68800   0.7921206673888843      0.27899723291715517     0.8398181991836333
69000   0.7903436599080044      0.2781886172367617      0.8378735032908492
69200   0.7880961739788225      0.2773854066899289      0.835486830108408
69400   0.7861766227803737      0.2765861433980174      0.8334108092208444
69600   0.7848599310615145      0.27579044834730043     0.8319047317965503
69800   0.783024979773482       0.2749996576248063      0.8299113992728515
70000   0.7812247326577499      0.2742135864779922      0.8279523983450354
70200   0.7791711500416665      0.27343283439754396     0.825756135904498
70400   0.7777216572413748      0.2726552947798013      0.8241309883226882
70600   0.7822344841624249      0.27188002286234797     0.8281361814608066
70800   0.7801759375860331      0.27111235579841614     0.8259397090919002
71000   0.7781323003364528      0.2703488160982914      0.8237586777647002
71200   0.7759811446867204      0.2695901745226088      0.8214776923985481
71400   0.7738121346610197      0.26883616863797083     0.8191813628962683
71600   0.7717087602494326      0.2680859011841356      0.8169482609440002
71800   0.7699273453164068      0.26733915520810725     0.8150204543282052
72000   0.7684528080279236      0.26659634547964434     0.8133838759092183
72200   0.7666440955351915      0.26585812519630453     0.8114331222915822
72400   0.7645316963341194      0.2651247652158025      0.8091970438837878
72600   0.7672527901049693      0.2643927814291159      0.811529658605084
72800   0.7651802453893835      0.2636670785800346      0.8093337607322996
73000   0.7630900157261633      0.26294574309535174     0.8071225656075556
73200   0.7611033119981668      0.26222778516142625     0.8050103495267908
73400   0.7591921561399422      0.26151360821622116     0.8029707947532597
73600   0.757462317462699       0.26080260514461423     0.801103714400439
73800   0.7555873460839265      0.26009639354686104     0.7991009770349646
74000   0.7535720771440066      0.259394234081183       0.7969669027793415
74200   0.7516210012334209      0.25869562161814635     0.7948946811619318
74400   0.7496117927801378      0.2580011065307569      0.7927688256018568
74600   0.7479293983220524      0.25730897062951363     0.7909527743429485
74800   0.7462479788194513      0.2566210524624912      0.7891390311339775
75000   0.744421530884602       0.2559371785027746      0.7871894657479452
75200   0.7427716160320169      0.25525650367339886     0.7854078916399948
75400   0.7408055813987333      0.25458044425776144     0.7833288658220087
75600   0.7388574540367538      0.2539078567663301      0.7812679035473972
75800   0.7369572252683928      0.2532386473730791      0.7792533377526434
76000   0.7359318550797505      0.2525712862873283      0.7780668030304072
76200   0.7340299494187867      0.25190903685806176     0.7760529166844894
76400   0.73225501324684        0.2512500236229519      0.774160176446492
76600   0.7306478052427589      0.25059352478341906     0.7724269091437963
76800   0.728762717455302       0.24994172532396422     0.7704323230568382
77000   0.7269931281457566      0.24929296135280035     0.768547974397956
77200   0.7253747590962489      0.2486470936142165      0.7668076149183302
77400   0.7267828654809103      0.2480034298144822      0.7679316602122808
77600   0.7249137013094501      0.2473651967433674      0.7659565359118307
77800   0.7280491034506061      0.2467278455489803      0.7687197973283066
78000   0.7262172163642554      0.24609583166418333     0.766781979252469
78200   0.724372825053122       0.2454672209817895      0.7648334107843116
78400   0.7266789861490438      0.24483906664760066     0.7668171343074374
78600   0.7249028228236918      0.2442163432605498      0.7649351115312405
78800   0.7237655608268222      0.24359561878264335     0.763659225393803
79000   0.721952904927128       0.24297966954850242     0.7617447845220985
79200   0.7203557389372426      0.2423662472908588      0.7600353863115022
79400   0.7186244312680662      0.24175610763997557     0.758199900287901
79600   0.7170608579832115      0.24114867006613033     0.7565242594433327
79800   0.7189338132796522      0.24054253571927395     0.758107208359794
80000   0.7173494769623551      0.23994104416191495     0.7564138925030889
80200   0.7155702330960458      0.23934350166117427     0.7545369906641833
80400   0.7155821046916362      0.23874656969316846     0.7543591141460192
80600   0.7141303250756434      0.23815422267880226     0.7527944971719631
80800   0.7124203294653503      0.23756537938575042     0.7509860420262242
81000   0.7203150362223294      0.23697638670746873     0.7582951663204135
81200   0.7185481501077803      0.23639351718272317     0.7564346230767942
81400   0.7182962634460345      0.23581215174976564     0.7560138179910401
81600   0.7166334671864298      0.23523451763522074     0.7542538064728072
81800   0.7149255821860215      0.23465964538032222     0.7524518172175814
82000   0.7132051639568375      0.23408785840587013     0.7506388821182568
82200   0.7114810534061615      0.23351902252619683     0.748823359169258
82400   0.7101111083268158      0.23295209288815721     0.7473449429481084
82600   0.708403578519009       0.23238878062568988     0.7455468968611115
82800   0.7067306395969551      0.23182784388391953     0.7437824588849808
83000   0.7050343294714512      0.23126999958556316     0.7419967779185872
83200   0.7033659439970539      0.23071453043347698     0.7402383708833301
83400   0.7016828882955086      0.2301620676086777      0.7384669614089914
83600   0.7022026665373315      0.22961018616465315     0.7387891596949062
83800   0.7066336383920642      0.2290594185561557      0.7428319568627151
84000   0.7049644486680267      0.22851476014041636     0.741076156334723
84200   0.7033176121650304      0.22797253971790085     0.7393423716025952
84400   0.7018043237881889      0.22743226797098753     0.7377362302355932
84600   0.7001541665334807      0.22689531321313297     0.7360009103746263
84800   0.6990833247927499      0.22635952624721398     0.7348170725603405
85000   0.6974580193826182      0.2258274848404498      0.7331069101505511
85200   0.6958536589796319      0.22529783846691634     0.7314174121069354
85400   0.6942826672031586      0.22477054335269997     0.7297603847413203
85600   0.6929453977091864      0.22424545320254102     0.7283264017515468
85800   0.6914070710226723      0.22372300273137763     0.7267019470259417
86000   0.6898493530711278      0.22320308526709123     0.7250598231907502
86200   0.6884701065073038      0.22268521995093765     0.7235881388875689
86400   0.6870709750771398      0.22216991392415156     0.722098328101178
86600   0.6856042486415215      0.2216567929680019      0.7205448768981463
86800   0.6840348662574955      0.2211466951111932      0.7188946786661541
87000   0.6825095438711569      0.22063867872003162     0.7172870443710356
87200   0.6892363494399497      0.22012963038106304     0.7235356242515029
87400   0.6877881507348622      0.21962606837695162     0.7220028740953868
87600   0.6862782939653133      0.21912486520184682     0.7204121065873814
87800   0.6847469391709773      0.2186262137941325      0.7188016361013515
88000   0.6832525835194713      0.21812958604557964     0.7172270276519479
88200   0.6819824456584813      0.21763510179429768     0.7158666731447538
88400   0.6804427930708633      0.2171434487979793      0.7142504266697769
88600   0.6847554736703312      0.21665115490039064     0.7182115159485767
88800   0.6835141537142515      0.21616304291716665     0.716880784685235
89000   0.6821026534312447      0.21567753995605354     0.7153885874540072
89200   0.6888872497580034      0.21519200927181686     0.7217154866937437
89400   0.6876197901521172      0.21471048051029237     0.720362107727636
89600   0.6861180479129342      0.21423162710566945     0.7187858969986807
89800   0.6846199570382256      0.21375493075435023     0.7172138147002043
90000   0.6831342569225266      0.2132803747876175      0.7156541980947497
90200   0.6837382633797748      0.2128066078119849      0.7160898443198551
90400   0.6824686898460104      0.21233558830525853     0.7147376544446712
90600   0.6809653334127825      0.21186756200767434     0.7131631294038256
90800   0.6794695816617397      0.21140156321635098     0.7115964680448438
91000   0.6786012320262806      0.21093653603268173     0.7106291960938931
91200   0.6772845731542351      0.21047404104007852     0.7092345979888848
91400   0.6758338228796956      0.21001388921198214     0.7077126463545261
91600   0.67446896881657        0.20955552409512446     0.706273252767843
91800   0.6730162281862452      0.20909945462852877     0.7047506121515527
92000   0.6715674568416078      0.2086454355485003      0.7032323704608088
92200   0.6702103742103469      0.2081931738790886      0.7018022109889807
92400   0.6688920300094775      0.20774283516193817     0.7004096182744209
92600   0.6674844135062351      0.2072946265974209      0.6989324033766977
92800   0.6660978096692968      0.20684806957947094     0.6974757457682585
93000   0.667949787821104       0.20640222485567933     0.6991128646188913
93200   0.6688820525430964      0.20595824799816756     0.6998728456889439
93400   0.6674820010361511      0.20551755567548058     0.6984051026431928
93600   0.666200866179853       0.20507846212747619     0.6970514828385038
93800   0.6652743572312416      0.20464112032249657     0.696037325519464
94000   0.664319663332756       0.2042054049637551      0.6949967356088498
94200   0.6686908365869491      0.2037700686881529      0.6990491226148048
94400   0.6673987336892279      0.20333859031376536     0.6976873598115235
