hour	other	hydro	gas	nuclear	solar	wind
0	0.494	-0.052	0.725	3.477	0	1.322
1	0.471	-0.052	0.717	3.477	0	1.231
2	0.474	-0.052	0.708	3.479	0	1.128
3	0.491	-0.052	0.714	3.481	0	1.026
4	0.486	-0.011	0.716	3.48	0	0.92
5	0.52	0.026	0.846	3.481	0	0.758
6	0.483	0.834	0.991	3.481	0.054	0.624
7	0.556	0.842	0.967	3.479	0.721	0.513
8	0.589	0.892	1.019	3.48	1.865	0.323
9	0.515	0.136	1.118	3.479	3.259	0.272
10	0.482	-0.008	0.691	3.475	4.614	0.302
11	0.481	-0.484	0.674	3.474	5.463	0.344
12	0.5	-0.621	0.64	3.472	5.657	0.392
13	0.55	-0.376	0.831	3.47	5.121	0.481
14	0.501	-0.576	0.74	3.465	4.741	0.495
15	0.487	-0.584	0.697	3.468	4.097	0.554
16	0.494	-0.252	0.808	3.467	3.114	0.682
17	0.451	-0.007	0.9	3.467	2.022	0.705
18	0.454	-0.006	1.343	3.465	1.189	0.445
19	0.544	0.601	1.961	3.471	0.561	0.235
20	0.545	0.681	2.42	3.47	0.117	0.147
21	0.53	0.596	2.235	3.469	0	0.214
22	0.472	0.388	1.692	3.467	0	0.359
23	0.461	0.058	1.054	3.468	0	0.314
24	0.444	0.028	0.907	3.468	0	0.372
25	0.44	-0.006	0.746	3.459	0	0.387
26	0.443	-0.007	0.803	3.465	0	0.362
27	0.442	-0.007	0.819	3.469	0	0.466
28	0.442	-0.201	0.711	3.47	0	0.589
29	0.487	-0.011	0.831	3.469	0	0.612
30	0.504	-0.005	0.957	3.47	0.025	0.476
31	0.478	0.331	0.93	3.473	0.45	0.405
32	0.4	0.121	0.93	3.478	1.254	0.33
33	0.428	0.158	0.902	3.48	2.224	0.212
34	0.411	-0.204	0.689	3.475	3.305	0.155
35	0.429	-0.362	0.706	3.473	3.557	0.148
36	0.409	-0.494	0.722	3.467	4.206	0.153
37	0.404	-0.55	0.686	3.465	4.909	0.186
38	0.41	-0.639	0.698	3.461	4.654	0.203
39	0.451	-0.369	0.792	3.457	3.445	0.19
40	0.448	-0.473	0.844	3.448	2.926	0.152
41	0.46	-0.027	0.925	3.45	1.86	0.159
42	0.494	0.183	1.153	3.447	1.156	0.173
43	0.473	0.515	1.246	3.448	0.505	0.491
44	0.481	0.456	1.246	3.454	0.079	0.568
45	0.549	0.589	1.333	3.453	0	0.549
46	0.503	0.52	1.246	3.453	0	0.478
47	0.486	0.124	1.255	3.455	0	0.638
48	0.443	-0.053	0.793	3.456	0	0.915
49	0.486	-0.104	0.567	3.458	0	0.793
50	0.528	0.113	0.569	3.459	0	0.471
51	0.483	-0.005	0.601	3.46	0	0.477
52	0.478	-0.241	0.533	3.46	0	0.555
53	0.51	-0.437	0.512	3.462	0	0.421
54	0.524	-0.019	0.517	3.463	0.068	0.296
55	0.534	0	0.534	3.464	0.581	0.221
56	0.537	0.16	0.544	3.465	1.47	0.179
57	0.516	0.149	0.532	3.463	2.766	0.104
58	0.516	-0.053	0.497	3.456	4.158	0.084
59	0.515	-0.494	0.488	3.452	5.306	0.13
60	0.496	-0.595	0.475	3.366	6.103	0.193
61	0.508	-0.642	0.474	3.253	6.382	0.213
62	0.505	-0.412	0.471	3.238	6.119	0.478
63	0.486	-0.599	0.481	3.232	5.35	0.792
64	0.492	-0.397	0.484	3.236	4.155	1.208
65	0.536	-0.195	0.494	3.284	2.864	1.357
66	0.53	0.14	0.506	3.408	1.571	1.106
67	0.565	0.472	0.626	3.44	0.66	0.902
68	0.539	0.398	0.515	3.45	0.124	1.047
69	0.551	0.149	0.557	3.452	0	1.22
70	0.532	0.466	0.558	3.445	0	1.283
71	0.528	0.375	0.474	3.432	0	1.387
72	0.564	-0.058	0.5	3.435	0	1.475
73	0.531	-0.418	0.456	3.439	0	1.255
74	0.549	-0.602	0.451	3.445	0	0.776
75	0.544	-0.522	0.453	3.444	0	0.628
76	0.534	-0.533	0.467	3.452	0	0.457
77	0.55	-0.205	0.468	3.458	0	0.236
78	0.549	0.556	0.487	3.458	0.064	0.13
79	1.202	0.576	0.769	3.457	0.566	0.117
80	1.203	0.613	0.879	3.454	1.349	0.109
81	0.587	0.586	0.654	3.447	2.354	0.364
82	0.535	-0.072	0.47	3.44	3.313	0.728
83	0.529	0.108	0.519	3.436	3.674	0.75
84	0.546	-0.174	0.518	3.438	3.185	1.035
85	0.56	-0.345	0.541	3.434	2.746	1.06
86	0.543	-0.586	0.49	3.437	2.509	1.213
87	0.503	-0.59	0.466	3.44	2.119	1.36
88	0.479	-0.261	0.465	3.455	1.469	1.459
89	0.535	0.345	0.543	3.457	0.721	1.335
90	0.576	0.369	0.584	3.457	0.301	1.584
91	0.545	0.452	0.521	3.456	0.106	2.065
92	0.594	0.122	0.537	3.46	0.013	2.013
93	0.646	0.192	0.681	3.463	0	1.637
94	0.648	0.045	0.627	3.464	0	1.944
95	0.674	0.016	0.574	3.462	0	1.788
96	0.649	-0.009	0.678	3.462	0	1.9
97	0.637	-0.158	0.748	3.465	0	2.163
98	0.633	-0.21	0.664	3.464	0	3.196
99	0.627	-0.449	0.682	3.463	0	3.123
100	0.665	-0.057	0.848	3.462	0	2.865
101	0.631	-0.069	0.699	3.462	0	3.21
102	0.63	-0.05	0.688	3.462	0.001	3.348
103	0.654	0.006	0.828	3.463	0.035	3.235
104	0.657	0.029	0.963	3.464	0.183	3.167
105	0.623	0.001	0.851	3.465	0.446	3.397
106	0.58	-0.025	0.715	3.466	0.866	3.518
107	0.546	-0.274	0.655	3.466	1.297	3.579
108	0.552	-0.637	0.621	3.466	1.681	3.643
109	0.608	-0.638	0.631	3.466	2.37	3.441
110	0.621	-0.633	0.613	3.465	2.997	3.126
111	0.591	-0.629	0.608	3.465	3.191	3.089
112	0.584	-0.451	0.623	3.463	3.202	3.064
113	0.547	-0.094	0.613	3.461	2.874	2.731
114	0.557	-0.046	0.694	3.461	2.018	2.369
115	0.603	0.441	0.788	3.46	1.058	1.943
116	0.611	0.623	0.932	3.458	0.222	1.543
117	0.577	0.596	0.911	3.459	0	1.563
118	0.551	0.546	0.906	3.46	0	1.604
119	0.568	0.224	0.932	3.459	0	1.521
120	0.58	-0.07	0.801	3.458	0	1.261
121	0.607	0.007	0.834	3.233	0	1.035
122	0.597	0.269	0.85	2.535	0	0.821
123	0.557	-0.042	0.848	2.456	0	0.624
124	0.542	-0.173	0.821	2.429	0	0.502
125	0.57	-0.029	0.739	2.428	0	0.38
126	0.558	-0.043	0.675	2.427	0.09	0.368
127	0.565	-0.003	0.736	2.427	0.534	0.373
128	0.561	-0.002	0.748	2.427	1.242	0.315
129	0.553	-0.002	0.732	2.428	2.21	0.129
130	0.547	-0.368	0.716	2.428	3.106	0.105
131	0.536	-0.604	0.531	2.428	3.704	0.228
132	0.549	-0.6	0.503	2.428	3.877	0.219
133	0.549	-0.594	0.545	2.429	3.672	0.304
134	0.646	-0.55	0.665	2.429	2.776	0.391
135	0.666	-0.327	0.864	2.428	1.724	0.443
136	0.624	-0.069	0.816	2.427	1.794	0.378
137	0.632	-0.005	1.079	2.428	1.199	0.347
138	0.648	-0.002	1.293	2.428	0.703	0.142
139	0.631	0.521	1.301	2.429	0.339	0.121
140	0.65	0.598	1.304	2.429	0.082	0.131
141	0.697	0.614	1.273	2.429	0.001	0.26
142	0.651	0.579	1.361	2.428	0	0.146
143	0.627	0.393	1.292	2.428	0	0.04
144	0.614	-0.092	1.093	2.428	0	0.05
145	0.649	-0.041	0.921	2.429	0	0.086
146	0.65	0.03	0.871	2.429	0	0.132
147	0.647	-0.005	0.854	2.429	0	0.152
148	0.636	-0.005	0.837	2.429	0	0.17
149	0.619	-0.169	0.758	2.429	0	0.183
150	0.652	-0.1	0.527	2.428	0.047	0.182
151	0.668	-0.009	0.413	2.428	0.482	0.126
152	0.648	-0.009	0.428	2.428	1.354	0.084
153	0.641	0.028	0.407	2.427	2.611	0.063
154	0.622	-0.02	0.383	2.429	4.028	0.06
155	0.602	-0.409	0.385	2.428	5.008	0.09
156	0.591	-0.6	0.389	2.428	5.282	0.094
157	0.593	-0.603	0.348	2.428	5.18	0.061
158	0.607	-0.597	0.375	2.427	4.56	0.071
159	0.622	-0.484	0.385	2.425	3.666	0.067
160	0.644	-0.239	0.402	2.424	2.155	0.062
161	0.611	0.518	0.543	2.423	1.117	0.093
162	0.608	0.129	0.904	2.423	0.862	0.074
163	0.624	0.054	1.394	2.422	0.494	0.051
164	0.62	0.371	1.458	2.421	0.158	0.07
165	0.635	0.368	1.471	2.421	0.003	0.087
166	0.622	0.345	1.479	2.421	0	0.064
167	0.631	0.084	1.287	2.419	0	0.061
