time_95	V16_95	time_5	V16_5
0	1.031193	0	1.031185
0.005	1.031195	0.005	1.031193
0.005	1.031195	0.005	1.031193
0.01	1.031194	0.01	1.031195
0.01	1.031194	0.01	1.031195
0.015	1.031194	0.015	1.031195
0.015	1.031194	0.015	1.031195
0.02	1.031193	0.02	1.031195
0.025	1.031193	0.02	1.031195
0.03	1.031192	0.025	1.031195
0.035	1.031192	0.025	1.031195
0.04	1.031191	0.03	1.031195
0.045	1.031191	0.035	1.031195
0.05	1.031191	0.04	1.031195
0.055	1.03119	0.045	1.031195
0.06	1.03119	0.05	1.031195
0.065	1.03119	0.055	1.031195
0.07	1.031189	0.06	1.031196
0.075	1.031189	0.065	1.031196
0.08	1.031189	0.07	1.031196
0.085	1.031188	0.075	1.031196
0.09	1.031188	0.08	1.031196
0.095	1.031188	0.085	1.031196
0.1	1.031188	0.09	1.031196
0.105	1.031187	0.095	1.031196
0.11	1.031187	0.1	1.031196
0.115	1.031187	0.105	1.031196
0.12	1.031187	0.11	1.031196
0.125	1.031186	0.115	1.031197
0.13	1.031186	0.12	1.031197
0.135	1.031186	0.125	1.031197
0.14	1.031186	0.125	1.031197
0.145	1.031186	0.13	1.031197
0.15	1.031185	0.135	1.031197
0.155	1.031185	0.14	1.031197
0.16	1.031185	0.14	1.031197
0.165	1.031185	0.145	1.031197
0.17	1.031185	0.15	1.031197
0.175	1.031185	0.155	1.031198
0.18	1.031185	0.155	1.031198
0.185	1.031184	0.16	1.031198
0.19	1.031184	0.16	1.031198
0.195	1.031184	0.165	1.031198
0.2	1.031184	0.17	1.031198
0.205	1.031184	0.17	1.031198
0.21	1.031184	0.175	1.031198
0.215	1.031184	0.175	1.031198
0.22	1.031184	0.18	1.031198
0.225	1.031184	0.185	1.031198
0.23	1.031184	0.19	1.031198
0.235	1.031183	0.19	1.031198
0.24	1.031183	0.195	1.031199
0.245	1.031183	0.195	1.031199
0.25	1.031183	0.2	1.031199
0.255	1.031183	0.205	1.031199
0.26	1.031183	0.21	1.031199
0.265	1.031183	0.215	1.031199
0.27	1.031183	0.215	1.031199
0.275	1.031183	0.22	1.031199
0.28	1.031183	0.225	1.031199
0.285	1.031183	0.225	1.031199
0.29	1.031183	0.23	1.031199
0.295	1.031183	0.235	1.0312
0.295	1.031183	0.235	1.0312
0.3	1.031183	0.24	1.0312
0.305	1.031183	0.24	1.0312
0.31	1.031183	0.245	1.0312
0.315	1.031183	0.245	1.0312
0.315	1.031183	0.25	1.0312
0.32	1.031182	0.25	1.0312
0.325	1.031182	0.255	1.0312
0.33	1.031182	0.255	1.0312
0.335	1.031182	0.26	1.0312
0.34	1.031182	0.26	1.0312
0.345	1.031182	0.265	1.0312
0.35	1.031182	0.265	1.0312
0.355	1.031182	0.27	1.0312
0.36	1.031182	0.27	1.0312
0.365	1.031182	0.275	1.031201
0.37	1.031182	0.275	1.031201
0.375	1.031182	0.28	1.031201
0.38	1.031182	0.28	1.031201
0.385	1.031182	0.285	1.031201
0.39	1.031182	0.285	1.031201
0.395	1.031182	0.29	1.031201
0.4	1.031182	0.29	1.031201
0.405	1.031182	0.295	1.031201
0.41	1.031182	0.3	1.031201
0.415	1.031182	0.3	1.031201
0.42	1.031182	0.305	1.031201
0.425	1.031182	0.305	1.031201
