time	V4_0	V4_1	V4_2	V4_3	V4_4	V4_5	V4_6	V4_7	V4_8	V4_9	V4_10	V4_11	V4_12	V4_13	V4_14	V4_15	V4_16	V4_17	V4_18	V4_19	V4_20	V4_21	V4_22	V4_23	V4_24	V4_25	V4_26	V4_27	V4_28	V4_29	V4_30	V4_31	V4_32	V4_33	V4_34	V4_35	V4_36	V4_37	V4_38	V4_39	V4_40	V4_41	V4_42	V4_43	V4_44	V4_45	V4_46	V4_47	V4_48	V4_49
0	1.050707	1.050703	1.05071	1.050703	1.050707	1.050712	1.050706	1.050709	1.050713	1.050709	1.050707	1.050708	1.050716	1.050712	1.050707	1.050704	1.050706	1.050719	1.050707	1.050712	1.050708	1.050709	1.050714	1.050709	1.050705	1.050714	1.050706	1.050709	1.050712	1.050709	1.05071	1.050706	1.050706	1.050707	1.050705	1.050712	1.050709	1.050708	1.050704	1.050711	1.05071	1.050714	1.050702	1.050706	1.050706	1.05071	1.050714	1.050706	1.050705	1.050708
0.02	1.050698	1.050692	1.050702	1.050691	1.050701	1.050704	1.050697	1.050702	1.050708	1.050703	1.050696	1.050703	1.050707	1.050707	1.050699	1.050696	1.050696	1.050711	1.0507	1.050702	1.050701	1.050701	1.050707	1.050702	1.050696	1.050702	1.050699	1.050703	1.050703	1.050702	1.050702	1.050699	1.050696	1.050701	1.050701	1.050703	1.0507	1.050702	1.050695	1.050705	1.0507	1.050707	1.050691	1.050698	1.050699	1.050702	1.050705	1.050698	1.050696	1.050703
0.04	1.050696	1.05069	1.050701	1.050688	1.0507	1.050702	1.050695	1.050701	1.050706	1.050701	1.050694	1.050703	1.050704	1.050705	1.050698	1.050695	1.050695	1.050709	1.050698	1.050699	1.050699	1.050699	1.050706	1.0507	1.050694	1.050699	1.050698	1.050702	1.050701	1.0507	1.0507	1.050697	1.050694	1.0507	1.0507	1.050701	1.050699	1.0507	1.050693	1.050704	1.050698	1.050705	1.050689	1.050697	1.050698	1.050701	1.050703	1.050697	1.050695	1.050702
0.06	1.050695	1.050689	1.0507	1.050686	1.050699	1.0507	1.050693	1.0507	1.050705	1.0507	1.050692	1.050702	1.050702	1.050705	1.050698	1.050695	1.050693	1.050707	1.050698	1.050698	1.050698	1.050698	1.050705	1.050699	1.050693	1.050697	1.050697	1.050701	1.0507	1.050698	1.050699	1.050696	1.050693	1.050699	1.0507	1.0507	1.050697	1.050699	1.050692	1.050704	1.050697	1.050703	1.050687	1.050695	1.050697	1.0507	1.050702	1.050695	1.050694	1.050701
0.08	1.050694	1.050688	1.0507	1.050685	1.050699	1.050699	1.050692	1.0507	1.050704	1.050699	1.050691	1.050702	1.050701	1.050704	1.050697	1.050694	1.050692	1.050706	1.050697	1.050697	1.050697	1.050697	1.050704	1.050698	1.050692	1.050695	1.050696	1.050701	1.0507	1.050697	1.050698	1.050695	1.050692	1.050698	1.0507	1.050699	1.050697	1.050699	1.050691	1.050703	1.050695	1.050702	1.050686	1.050694	1.050696	1.050699	1.0507	1.050695	1.050692	1.0507
0.1	1.050693	1.050687	1.050699	1.050683	1.050698	1.050698	1.050691	1.050699	1.050704	1.050699	1.05069	1.050702	1.050699	1.050704	1.050696	1.050693	1.050692	1.050705	1.050696	1.050696	1.050697	1.050697	1.050703	1.050697	1.050691	1.050693	1.050695	1.0507	1.050699	1.050697	1.050698	1.050695	1.050691	1.050698	1.050699	1.050698	1.050696	1.050698	1.05069	1.050703	1.050694	1.050702	1.050685	1.050693	1.050695	1.050698	1.050699	1.050694	1.050691	1.0507
0.12	1.050692	1.050686	1.050698	1.050682	1.050698	1.050697	1.050691	1.050699	1.050703	1.050698	1.050689	1.050701	1.050698	1.050703	1.050696	1.050693	1.050691	1.050704	1.050696	1.050695	1.050696	1.050696	1.050702	1.050696	1.050691	1.050692	1.050695	1.0507	1.050698	1.050696	1.050697	1.050694	1.050691	1.050697	1.050699	1.050697	1.050696	1.050698	1.050689	1.050703	1.050693	1.050701	1.050684	1.050693	1.050694	1.050697	1.050698	1.050693	1.050691	1.050699
0.14	1.050692	1.050685	1.050697	1.050681	1.050698	1.050696	1.05069	1.050698	1.050703	1.050698	1.050688	1.050701	1.050697	1.050703	1.050695	1.050693	1.05069	1.050703	1.050695	1.050694	1.050695	1.050696	1.050702	1.050696	1.05069	1.050691	1.050694	1.0507	1.050698	1.050695	1.050697	1.050694	1.05069	1.050697	1.050699	1.050696	1.050695	1.050698	1.050689	1.050702	1.050693	1.050701	1.050683	1.050692	1.050694	1.050697	1.050697	1.050693	1.05069	1.050699
0.16	1.050691	1.050684	1.050697	1.05068	1.050698	1.050696	1.05069	1.050698	1.050702	1.050698	1.050687	1.050701	1.050696	1.050703	1.050695	1.050692	1.05069	1.050702	1.050695	1.050694	1.050695	1.050695	1.050701	1.050695	1.05069	1.05069	1.050694	1.0507	1.050698	1.050695	1.050696	1.050694	1.05069	1.050697	1.050699	1.050695	1.050695	1.050697	1.050688	1.050702	1.050692	1.0507	1.050683	1.050692	1.050694	1.050696	1.050697	1.050693	1.050689	1.050699
0.18	1.050691	1.050684	1.050697	1.050679	1.050698	1.050695	1.05069	1.050698	1.050702	1.050698	1.050687	1.050701	1.050695	1.050703	1.050694	1.050692	1.05069	1.050702	1.050695	1.050694	1.050695	1.050695	1.050701	1.050695	1.05069	1.05069	1.050694	1.0507	1.050697	1.050695	1.050696	1.050694	1.050689	1.050697	1.050699	1.050694	1.050695	1.050698	1.050688	1.050702	1.050692	1.0507	1.050683	1.050692	1.050693	1.050696	1.050696	1.050693	1.050689	1.050699
0.2	1.050691	1.050683	1.050696	1.050678	1.050698	1.050695	1.05069	1.050699	1.050702	1.050698	1.050686	1.050701	1.050695	1.050703	1.050694	1.050692	1.050689	1.050702	1.050695	1.050693	1.050695	1.050695	1.050701	1.050695	1.05069	1.05069	1.050694	1.050701	1.050697	1.050695	1.050696	1.050694	1.050689	1.050697	1.0507	1.050694	1.050696	1.050698	1.050688	1.050702	1.050691	1.0507	1.050682	1.050692	1.050693	1.050695	1.050696	1.050693	1.050689	1.050699
0.22	1.050691	1.050683	1.050696	1.050678	1.050698	1.050695	1.05069	1.050699	1.050703	1.050698	1.050686	1.050702	1.050695	1.050704	1.050694	1.050692	1.050689	1.050702	1.050695	1.050693	1.050695	1.050695	1.050701	1.050695	1.05069	1.050689	1.050694	1.050701	1.050697	1.050695	1.050696	1.050694	1.050689	1.050697	1.0507	1.050693	1.050696	1.050698	1.050688	1.050703	1.050691	1.0507	1.050682	1.050692	1.050694	1.050695	1.050695	1.050693	1.050688	1.0507
0.24	1.050691	1.050683	1.050696	1.050678	1.050699	1.050695	1.05069	1.0507	1.050703	1.050699	1.050686	1.050702	1.050695	1.050704	1.050695	1.050693	1.05069	1.050702	1.050695	1.050693	1.050695	1.050695	1.050701	1.050696	1.05069	1.050689	1.050695	1.050702	1.050698	1.050695	1.050696	1.050694	1.050689	1.050697	1.050701	1.050693	1.050696	1.050699	1.050688	1.050703	1.050691	1.0507	1.050682	1.050693	1.050694	1.050695	1.050695	1.050693	1.050689	1.0507
0.26	1.050692	1.050683	1.050696	1.050678	1.050699	1.050695	1.05069	1.0507	1.050704	1.050699	1.050686	1.050703	1.050695	1.050705	1.050695	1.050693	1.05069	1.050702	1.050695	1.050694	1.050696	1.050696	1.050701	1.050696	1.050691	1.050689	1.050695	1.050703	1.050698	1.050695	1.050697	1.050695	1.050689	1.050698	1.050702	1.050693	1.050697	1.050699	1.050689	1.050704	1.050691	1.050701	1.050683	1.050693	1.050694	1.050696	1.050695	1.050694	1.050689	1.050701
0.28	1.050692	1.050683	1.050697	1.050678	1.0507	1.050696	1.050691	1.050701	1.050704	1.0507	1.050686	1.050703	1.050695	1.050706	1.050696	1.050693	1.050691	1.050702	1.050696	1.050694	1.050696	1.050696	1.050702	1.050697	1.050691	1.05069	1.050696	1.050704	1.050698	1.050696	1.050697	1.050696	1.05069	1.050699	1.050703	1.050693	1.050698	1.0507	1.050689	1.050704	1.050691	1.050701	1.050683	1.050694	1.050695	1.050696	1.050696	1.050694	1.050689	1.050702
0.3	1.050693	1.050683	1.050697	1.050678	1.050701	1.050696	1.050692	1.050702	1.050705	1.050701	1.050687	1.050704	1.050696	1.050707	1.050696	1.050694	1.050691	1.050703	1.050696	1.050695	1.050697	1.050697	1.050702	1.050697	1.050692	1.05069	1.050697	1.050705	1.050699	1.050696	1.050698	1.050696	1.05069	1.050699	1.050704	1.050694	1.050699	1.050701	1.05069	1.050705	1.050692	1.050702	1.050684	1.050695	1.050696	1.050697	1.050696	1.050695	1.05069	1.050703
0.32	1.050693	1.050684	1.050698	1.050679	1.050702	1.050697	1.050692	1.050703	1.050706	1.050702	1.050687	1.050705	1.050696	1.050708	1.050697	1.050695	1.050692	1.050704	1.050697	1.050696	1.050698	1.050698	1.050703	1.050698	1.050693	1.050691	1.050698	1.050706	1.0507	1.050697	1.050699	1.050697	1.050691	1.0507	1.050705	1.050694	1.0507	1.050702	1.050691	1.050706	1.050692	1.050703	1.050684	1.050696	1.050697	1.050697	1.050697	1.050696	1.05069	1.050704
