time,_BUS___13-BUS___14-1_AC_side1_Distance_distance_UMonitoredPu,_BUS___13-BUS___14-1_AC_side1_Distance_distance_PMonitoredPu,_BUS___13-BUS___14-1_AC_side1_Distance_distance_QMonitoredPu,R,X
5.007121,0.294106,0.508237,-1.558491,0.0163596576576623,-0.0501663185138975
5.007121,0.294106,0.508237,-1.558493,0.0163596197053766,-0.0501662665124569
5.007128,0.294101,0.508259,-1.558476,0.0163599580453074,-0.0501645853287764
5.007135,0.294096,0.508281,-1.558459,0.0163602963448382,-0.0501629041441253
5.007149,0.294086,0.508326,-1.558425,0.0163609988186017,-0.05015952279419
5.007177,0.294066,0.508414,-1.558358,0.0163623323053783,-0.0501527720455078
5.007233,0.294026,0.508592,-1.558225,0.0163650303103301,-0.0501392065846772
5.007238,0.294023,0.508604,-1.558215,0.0163651979547486,-0.0501382154506426
5.007238,0.294023,0.508604,-1.558215,0.0163651979547486,-0.0501382154506426
5.007245,0.294018,0.508627,-1.558198,0.0163655615996202,-0.0501365152723017
5.007252,0.294013,0.508649,-1.558181,0.016365899223375,-0.0501348340757136
5.007266,0.294003,0.508694,-1.558147,0.0163666003255407,-0.0501314526954128
5.007295,0.293983,0.508785,-1.55808,0.016368009015505,-0.0501246449617775
5.007352,0.293942,0.508965,-1.557945,0.0163706800380047,-0.0501107524325037
5.007467,0.293861,0.509327,-1.557677,0.0163761392142243,-0.0500832184486494
5.007696,0.293701,0.510053,-1.557147,0.0163871857245264,-0.0500286383755985
5.008154,0.293383,0.511515,-1.556107,0.0164092495366122,-0.0499194511767377
5.008472,0.293164,0.512535,-1.5554,0.0164245054132694,-0.0498437681715379
5.008472,0.293164,0.512535,-1.5554,0.0164245054132694,-0.0498437681715379
5.00848,0.293159,0.512562,-1.555381,0.0164250028388926,-0.0498420431880623
5.008488,0.293153,0.512589,-1.555363,0.0164253691012545,-0.0498399524013089
5.008505,0.293141,0.512643,-1.555326,0.0164261204918117,-0.0498357966070883
5.008538,0.293119,0.512751,-1.555253,0.0164278276556782,-0.0498281392819839
5.008605,0.293073,0.512966,-1.555107,0.0164309892377691,-0.0498121637312793
5.008739,0.292982,0.513398,-1.554816,0.0164374456125928,-0.0497804888947542
5.009006,0.292801,0.514263,-1.554239,0.016450355641647,-0.0497173319918363
5.009008,0.2928,0.514269,-1.554235,0.0164504736445477,-0.0497169806170187
5.009008,0.2928,0.514269,-1.554235,0.0164504736445477,-0.0497169806170187
5.009017,0.292794,0.514298,-1.554216,0.0164509064982293,-0.049714877549693
5.009025,0.292788,0.514327,-1.554197,0.016451339284376,-0.0497127744834694
5.009043,0.292776,0.514384,-1.554159,0.0164521789853142,-0.0497085874359175
5.009079,0.292752,0.5145,-1.554083,0.0164539089204311,-0.049700175192984
5.00915,0.292704,0.514731,-1.553932,0.0164573208112018,-0.0496833441987998
5.009292,0.292609,0.515193,-1.55363,0.0164642442083588,-0.0496500218936059
5.009576,0.292419,0.516119,-1.553032,0.0164779763092523,-0.0495831862487347
5.010144,0.292043,0.51798,-1.551855,0.0165055522960143,-0.0494502178816388
5.010866,0.291572,0.52036,-1.550388,0.0165408030792334,-0.0492825401729697
5.010866,0.291572,0.52036,-1.550388,0.0165408030792334,-0.0492825401729697
5.010877,0.291566,0.520396,-1.550366,0.0165414568052971,-0.0492803792139086
5.010888,0.291559,0.520431,-1.550345,0.0165419524455898,-0.0492778740395133
5.010909,0.291545,0.520502,-1.550302,0.0165429879558997,-0.0492728698717916
5.010952,0.291517,0.520644,-1.550216,0.0165450577873451,-0.0492628615769451
5.011038,0.291462,0.520927,-1.550046,0.0165492425602124,-0.0492431515999114
5.011209,0.291352,0.521495,-1.549705,0.0165576631907418,-0.0492037189906105
5.011552,0.291133,0.522632,-1.549028,0.0165744723858566,-0.0491250474730185
5.012238,0.290699,0.524913,-1.547692,0.0166080769282377,-0.0489684724844271
5.012619,0.290461,0.526183,-1.546956,0.0166268790315052,-0.0488823285417074
5.012619,0.290461,0.526183,-1.546956,0.0166268790315052,-0.0488823285417074
5.012631,0.290453,0.526224,-1.546932,0.0166274523530189,-0.0488794470099429
