time	Percentile5	Percentile95
2.21	2.7521725	4.3262
2.22	2.75144	4.325055
2.23	2.7506525	4.323865
2.24	2.74992	4.322665
2.25	2.74914625	4.32152
2.26	2.7484	4.320275
2.27	2.747645	4.31913
2.28	2.7469125	4.317885
2.29	2.74613875	4.31674
2.3	2.74538375	4.315495
2.31	2.744615	4.31435
2.32	2.7438825	4.313205
2.33	2.7431275	4.31196
2.34	2.7423725	4.310815
2.35	2.74164	4.30967
2.36	2.74084375	4.30848
2.37	2.74008875	4.30728
2.38	2.739375	4.306135
2.39	2.73862	4.30499
2.4	2.7378875	4.303845
2.41	2.7371325	4.3027
2.42	2.73639125	4.301555
2.43	2.73565875	4.300465
2.44	2.7349225	4.29932
2.45	2.73409125	4.298175
2.46	2.73324625	4.29713
2.47	2.7324425	4.295985
2.48	2.73161125	4.294895
2.49	2.7308075	4.293795
2.5	2.72997625	4.29275
2.51	2.72920875	4.29166
2.52	2.7284275	4.290615
2.53	2.7276375	4.28957
2.54	2.72685125	4.288525
2.55	2.72606125	4.28748
2.56	2.72531625	4.28648
2.57	2.72454875	4.285435
2.58	2.72380375	4.284445
2.59	2.72305875	4.283445
2.6	2.72231375	4.282455
2.61	2.72161	4.281455
2.62	2.720865	4.28051
2.63	2.72013375	4.279565
2.64	2.71941125	4.27862
2.65	2.71874375	4.277675
2.66	2.71802125	4.27673
2.67	2.71735375	4.275785
2.68	2.7166725	4.27484
2.69	2.71596375	4.273995
2.7	2.71531875	4.273095
2.71	2.7146375	4.272205
2.72	2.7139925	4.271305
2.73	2.71330625	4.27046
2.74	2.71266125	4.269615
2.75	2.71203875	4.26877
2.76	2.711435	4.267925
2.77	2.71082625	4.267125
2.78	2.71020375	4.26628
2.79	2.70955875	4.26548
2.8	2.709	4.26469
2.81	2.70839125	4.26389
2.82	2.70776875	4.263145
2.83	2.70722375	4.262345
2.84	2.70662375	4.261545
2.85	2.70607875	4.260415
2.86	2.70553375	4.259285
2.87	2.704975	4.258255
2.88	2.70438875	4.25718
2.89	2.70384375	4.256095
2.9	2.70334375	4.25502
2.91	2.70279875	4.254045
2.92	2.70229875	4.253015
2.93	2.70175375	4.251985
2.94	2.70125375	4.25101
2.95	2.70076375	4.250035
2.96	2.70026375	4.24906
2.97	2.69976375	4.24813
2.98	2.69931875	4.247155
2.99	2.69881875	4.246225
3	2.69837375	4.245305
3.01	2.69787375	4.24443
3.02	2.69742875	4.243555
3.03	2.69692875	4.24268
3.04	2.69652875	4.24176
3.05	2.69608375	4.240885
3.06	2.69563875	4.24011
3.07	2.69523875	4.239235
3.08	2.694775	4.238415
3.09	2.6943525	4.237595
3.1	2.6939525	4.23682
3.11	2.69357125	4.236
3.12	2.69314875	4.23528
3.13	2.69274875	4.234505
3.14	2.69234875	4.23374
3.15	2.6919625	4.23302
3.16	2.69160375	4.2323
3.17	2.69120375	4.23158
3.18	2.69085875	4.23086
3.19	2.69048125	4.23014
3.2	2.69015875	4.22952
3.21	2.68975875	4.2288
3.22	2.68943625	4.228135
3.23	2.6890725	4.227515
3.24	2.68875	4.22685
3.25	2.68841375	4.22623
3.26	2.68809125	4.225565
3.27	2.68776875	4.224945
3.28	2.6874275	4.22438
3.29	2.687105	4.22376
3.3	2.6867825	4.223195
3.31	2.6864825	4.222585
3.32	2.6861825	4.22202
3.33	2.68592375	4.2215
3.34	2.68562375	4.220935
3.35	2.68532375	4.22037
3.36	2.6850375	4.219805
3.37	2.6847375	4.219295
3.38	2.68447875	4.218775
3.39	2.6841925	4.218265
3.4	2.683915	4.2178
3.41	2.68365625	4.217235
3.42	2.6833925	4.21677
3.43	2.68315625	4.21626
3.44	2.6828925	4.215795
3.45	2.68263375	4.215385
3.46	2.68241125	4.21492
3.47	2.6821475	4.214455
3.48	2.68191125	4.214
3.49	2.68168875	4.213535
3.5	2.6814475	4.213125
3.51	2.681225	4.212715
3.52	2.68098875	4.212305
3.53	2.68078875	4.21194
3.54	2.68056625	4.21153
3.55	2.68036625	4.21112
3.56	2.680125	4.21071
3.57	2.6799025	4.210345
3.58	2.6797025	4.209935
3.59	2.6795025	4.20958
3.6	2.67934375	4.209215
3.61	2.67914375	4.20886
3.62	2.67894375	4.208495
3.63	2.6787575	4.20814
3.64	2.6785575	4.20783
3.65	2.6783575	4.207475
3.66	2.67822125	4.207165
3.67	2.67802125	4.2068
3.68	2.677835	4.206445
3.69	2.677635	4.20619
3.7	2.67749875	4.20588
3.71	2.677335	4.20557
3.72	2.67717625	4.20526
3.73	2.6770125	4.20495
3.74	2.676835	4.204695
3.75	2.67669	4.204385
3.76	2.6765125	4.20413
3.77	2.67639	4.20382
3.78	2.6762125	4.203565
3.79	2.67609	4.20331
3.8	2.67593125	4.203
3.81	2.67579	4.202745
3.82	2.67565375	4.20249
3.83	2.67549	4.202235
3.84	2.6753675	4.202025
3.85	2.675245	4.20177
3.86	2.67509	4.201515
3.87	2.6749675	4.20126
3.88	2.674845	4.20105
3.89	2.674745	4.200795
3.9	2.67460875	4.20054
3.91	2.674445	4.20033
3.92	2.674345	4.20013
3.93	2.674245	4.19992
3.94	2.6741225	4.199665
3.95	2.674	4.19951
3.96	2.6739	4.199255
3.97	2.67378625	4.199045
3.98	2.67368625	4.198845
3.99	2.67358625	4.19869
4	2.67346125	4.198435
4.01	2.67336125	4.19828
4.02	2.67323375	4.19807
4.03	2.67313375	4.19787
4.04	2.67303375	4.197715
4.05	2.67293375	4.19756
4.06	2.672845	4.197305
4.07	2.672745	4.19715
4.08	2.672645	4.196995
4.09	2.672545	4.19684
4.1	2.672445	4.196685
4.11	2.672345	4.196485
4.12	2.67227875	4.19633
4.13	2.6722175	4.196175
4.14	2.6721175	4.19602
4.15	2.672045	4.195865
4.16	2.671945	4.19571
4.17	2.67187875	4.19551
4.18	2.67179	4.195355
4.19	2.67169	4.1952
4.2	2.67159	4.1951
4.21	2.67155125	4.194945
4.22	2.67149	4.19479
4.23	2.67139	4.194635
4.24	2.67129	4.194535
4.25	2.671235	4.19438
4.26	2.67119	4.194225
4.27	2.67109	4.194125
4.28	2.671035	4.19397
4.29	2.6709625	4.193815
4.3	2.67092375	4.193715
4.31	2.670835	4.19356
4.32	2.670735	4.193505
4.33	2.670735	4.19335
4.34	2.670635	4.19325
4.35	2.67058	4.193095
4.36	2.670535	4.192995
4.37	2.67046875	4.19284
4.38	2.67038	4.19274
4.39	2.670335	4.19264
4.4	2.67028	4.19253
4.41	2.67018	4.19243
4.42	2.67018	4.19233
4.43	2.67008	4.192175
4.44	2.67008	4.192075
4.45	2.66998	4.19202
4.46	2.6699525	4.191865
4.47	2.66991375	4.191765
4.48	2.669825	4.191665
4.49	2.669825	4.19161
4.5	2.669725	4.191455
4.51	2.669725	4.191355
4.52	2.669625	4.191255
4.53	2.669625	4.1912
4.54	2.669525	4.1911
4.55	2.669525	4.190945
4.56	2.66947	4.19089
4.57	2.669425	4.19079
4.58	2.66937	4.19069
4.59	2.66935875	4.190635
4.6	2.66927	4.190535
4.61	2.66927	4.190435
4.62	2.66917	4.19038
4.63	2.66917	4.19028
4.64	2.669115	4.19018
4.65	2.66907	4.190125
4.66	2.669015	4.18997
4.67	2.669015	4.18987
4.68	2.6689425	4.189815
4.69	2.668915	4.189715
4.7	2.668915	4.189615
4.71	2.668815	4.189615
4.72	2.668815	4.189515
4.73	2.66876	4.18946
4.74	2.66876	4.18936
4.75	2.668715	4.189305
4.76	2.66866	4.189205
4.77	2.66866	4.189105
4.78	2.66856	4.18905
4.79	2.66856	4.18895
4.8	2.66856	4.188895
4.81	2.668505	4.188795
4.82	2.66846	4.18874
4.83	2.6684325	4.18864
4.84	2.668405	4.188595
4.85	2.668405	4.18854
4.86	2.668305	4.18844
4.87	2.668305	4.188385
4.88	2.668305	4.188285
4.89	2.66825	4.18823
4.9	2.668205	4.188185
4.91	2.668205	4.18813
4.92	2.66815	4.18803
4.93	2.66815	4.187975
4.94	2.66815	4.187875
4.95	2.66805	4.187875
4.96	2.66805	4.187775
4.97	2.66805	4.18772
4.98	2.6680225	4.18762
4.99	2.667995	4.187565
5	2.66795	4.18752
