time	V16_0	V16_1	V16_2	V16_3	V16_4	V16_5	V16_6	V16_7	V16_8	V16_9	V16_10	V16_11	V16_12	V16_13	V16_14	V16_15	V16_16	V16_17	V16_18	V16_19	V16_20	V16_21	V16_22	V16_23	V16_24	V16_25	V16_26	V16_27	V16_28	V16_29	V16_30	V16_31	V16_32	V16_33	V16_34	V16_35	V16_36	V16_37	V16_38	V16_39	V16_40	V16_41	V16_42	V16_43	V16_44	V16_45	V16_46	V16_47	V16_48	V16_49
0	1.030664	1.03067	1.030642	1.030678	1.030664	1.030624	1.030668	1.030659	1.030633	1.030652	1.030651	1.030661	1.030608	1.030652	1.030664	1.030679	1.030666	1.030585	1.030662	1.030615	1.030652	1.030652	1.03063	1.030647	1.030668	1.030604	1.030671	1.03067	1.030627	1.03064	1.030658	1.030652	1.030663	1.030657	1.030679	1.030623	1.030651	1.030665	1.03067	1.03065	1.030641	1.030623	1.03067	1.03067	1.030659	1.030638	1.030619	1.030669	1.030667	1.030664
0.02	1.03065	1.030652	1.030634	1.030657	1.03065	1.03062	1.03065	1.030644	1.030626	1.030644	1.030639	1.030652	1.030606	1.030644	1.030651	1.030663	1.030649	1.03059	1.030649	1.030609	1.030644	1.030642	1.030625	1.030638	1.030654	1.030599	1.030655	1.030658	1.03062	1.030635	1.030644	1.030641	1.030648	1.030647	1.030665	1.030619	1.030638	1.030654	1.030656	1.030642	1.03063	1.030618	1.030655	1.030656	1.030648	1.03063	1.030615	1.030652	1.030654	1.030656
0.04	1.030647	1.03065	1.030633	1.030653	1.030649	1.030617	1.030647	1.030642	1.030624	1.030642	1.030636	1.030651	1.030603	1.030642	1.030649	1.030661	1.030647	1.030588	1.030648	1.030606	1.030642	1.03064	1.030623	1.030635	1.030652	1.030595	1.030653	1.030656	1.030618	1.030633	1.030641	1.030638	1.030645	1.030645	1.030664	1.030617	1.030636	1.030652	1.030654	1.030641	1.030627	1.030615	1.030653	1.030654	1.030647	1.030628	1.030613	1.03065	1.030652	1.030654
0.06	1.030646	1.030648	1.030632	1.030651	1.030647	1.030616	1.030645	1.03064	1.030622	1.03064	1.030634	1.03065	1.0306	1.030641	1.030648	1.03066	1.030645	1.030586	1.030646	1.030604	1.03064	1.030638	1.030621	1.030634	1.030651	1.030592	1.030651	1.030655	1.030616	1.030632	1.030639	1.030636	1.030644	1.030643	1.030663	1.030616	1.030634	1.03065	1.030652	1.03064	1.030626	1.030613	1.030651	1.030652	1.030645	1.030627	1.030611	1.030648	1.03065	1.030653
0.08	1.030644	1.030647	1.030631	1.030649	1.030646	1.030614	1.030643	1.030638	1.03062	1.030639	1.030633	1.03065	1.030599	1.03064	1.030647	1.030659	1.030643	1.030586	1.030645	1.030603	1.030639	1.030637	1.03062	1.030632	1.03065	1.03059	1.03065	1.030654	1.030616	1.030631	1.030638	1.030635	1.030642	1.030642	1.030662	1.030615	1.030633	1.030649	1.030651	1.030639	1.030624	1.030612	1.03065	1.03065	1.030644	1.030626	1.03061	1.030647	1.030649	1.030653
0.1	1.030643	1.030645	1.03063	1.030647	1.030646	1.030613	1.030642	1.030637	1.030619	1.030638	1.030632	1.030649	1.030597	1.030639	1.030646	1.030658	1.030642	1.030585	1.030644	1.030602	1.030638	1.030637	1.030619	1.030631	1.030649	1.030589	1.030649	1.030653	1.030615	1.03063	1.030636	1.030634	1.030641	1.030642	1.030661	1.030614	1.030632	1.030648	1.03065	1.030639	1.030623	1.030611	1.030649	1.030649	1.030644	1.030625	1.030609	1.030645	1.030647	1.030652
0.12	1.030642	1.030644	1.030629	1.030645	1.030645	1.030612	1.030641	1.030636	1.030618	1.030637	1.030631	1.030649	1.030596	1.030638	1.030645	1.030657	1.030641	1.030585	1.030643	1.030601	1.030638	1.030636	1.030619	1.03063	1.030648	1.030588	1.030648	1.030652	1.030615	1.03063	1.030635	1.030634	1.03064	1.030641	1.03066	1.030613	1.030632	1.030648	1.030649	1.030638	1.030622	1.03061	1.030648	1.030648	1.030643	1.030624	1.030608	1.030644	1.030646	1.030651
0.14	1.030642	1.030643	1.030629	1.030644	1.030645	1.030612	1.03064	1.030636	1.030618	1.030637	1.03063	1.030648	1.030595	1.030638	1.030645	1.030657	1.03064	1.030585	1.030643	1.030601	1.030637	1.030635	1.030618	1.03063	1.030647	1.030587	1.030647	1.030652	1.030615	1.030629	1.030635	1.030633	1.03064	1.03064	1.030659	1.030613	1.030631	1.030647	1.030649	1.030638	1.030622	1.03061	1.030648	1.030647	1.030642	1.030623	1.030608	1.030644	1.030646	1.030651
0.16	1.030641	1.030642	1.030628	1.030643	1.030644	1.030612	1.03064	1.030635	1.030617	1.030637	1.03063	1.030648	1.030595	1.030638	1.030644	1.030656	1.030639	1.030585	1.030642	1.030601	1.030637	1.030635	1.030618	1.030629	1.030647	1.030587	1.030646	1.030651	1.030615	1.030629	1.030634	1.030633	1.030639	1.03064	1.030658	1.030612	1.030631	1.030647	1.030648	1.030637	1.030621	1.030609	1.030647	1.030647	1.030642	1.030623	1.030607	1.030643	1.030645	1.030651
0.18	1.030641	1.030642	1.030628	1.030642	1.030644	1.030611	1.030639	1.030634	1.030617	1.030637	1.030629	1.030647	1.030595	1.030637	1.030643	1.030655	1.030639	1.030585	1.030642	1.030601	1.030636	1.030635	1.030618	1.030629	1.030646	1.030587	1.030645	1.030651	1.030615	1.030629	1.030633	1.030633	1.030638	1.030639	1.030658	1.030612	1.030631	1.030646	1.030648	1.030637	1.030621	1.030609	1.030647	1.030646	1.030641	1.030622	1.030607	1.030642	1.030644	1.03065
0.2	1.03064	1.030641	1.030627	1.030641	1.030643	1.030611	1.030639	1.030634	1.030616	1.030636	1.030629	1.030647	1.030595	1.030637	1.030643	1.030655	1.030638	1.030586	1.030641	1.030601	1.030636	1.030634	1.030618	1.030629	1.030646	1.030587	1.030645	1.030651	1.030615	1.030629	1.030633	1.030632	1.030638	1.030639	1.030657	1.030612	1.030631	1.030646	1.030647	1.030637	1.030621	1.030609	1.030646	1.030646	1.030641	1.030622	1.030607	1.030642	1.030644	1.03065
0.22	1.03064	1.03064	1.030627	1.03064	1.030643	1.030611	1.030638	1.030634	1.030616	1.030636	1.030629	1.030647	1.030595	1.030637	1.030643	1.030654	1.030638	1.030586	1.030641	1.030601	1.030636	1.030634	1.030617	1.030629	1.030646	1.030588	1.030644	1.03065	1.030615	1.030629	1.030632	1.030632	1.030637	1.030638	1.030657	1.030612	1.030631	1.030645	1.030647	1.030637	1.03062	1.030609	1.030646	1.030645	1.030641	1.030622	1.030607	1.030641	1.030643	1.03065
0.24	1.030639	1.030639	1.030627	1.030639	1.030643	1.030611	1.030638	1.030633	1.030616	1.030636	1.030629	1.030646	1.030595	1.030637	1.030642	1.030654	1.030637	1.030587	1.03064	1.030601	1.030636	1.030634	1.030617	1.030629	1.030645	1.030588	1.030644	1.03065	1.030615	1.030629	1.030632	1.030632	1.030637	1.030638	1.030656	1.030612	1.030631	1.030645	1.030647	1.030636	1.03062	1.030609	1.030646	1.030645	1.03064	1.030622	1.030607	1.030641	1.030643	1.03065
0.26	1.030639	1.030639	1.030626	1.030638	1.030643	1.030611	1.030637	1.030633	1.030616	1.030636	1.030628	1.030646	1.030595	1.030637	1.030642	1.030653	1.030637	1.030587	1.03064	1.030602	1.030636	1.030633	1.030617	1.030628	1.030645	1.030588	1.030643	1.03065	1.030615	1.030629	1.030631	1.030632	1.030636	1.030638	1.030656	1.030612	1.03063	1.030645	1.030646	1.030636	1.03062	1.030609	1.030645	1.030645	1.03064	1.030621	1.030606	1.03064	1.030642	1.03065
0.28	1.030639	1.030638	1.030626	1.030638	1.030642	1.030611	1.030637	1.030633	1.030616	1.030636	1.030628	1.030646	1.030595	1.030636	1.030641	1.030653	1.030637	1.030588	1.030639	1.030602	1.030635	1.030633	1.030617	1.030628	1.030644	1.030589	1.030643	1.03065	1.030615	1.030629	1.030631	1.030632	1.030636	1.030637	1.030655	1.030612	1.03063	1.030645	1.030646	1.030636	1.030619	1.030609	1.030645	1.030644	1.03064	1.030621	1.030606	1.03064	1.030642	1.030649
