id	N_static	indic_1	indic_2
1	141	0	0.1378
2	141	0	0.1378
3	142	0.01077	0.1357
4	141	0	0.1378
5	141	0	0.1378
6	143	0.009604	0.1349
7	141	0	0.1378
8	141	0	0.1378
9	141	0	0.1378
10	141	0	0.1378
11	141	0	0.1378
12	141	0	0.1378
13	141	0	0.1378
14	141	0	0.1378
15	141	0	0.1378
16	141	0	0.1378
17	141	0	0.1378
18	141	0	0.1378
19	141	0	0.1378
20	141	0	0.1378
21	141	0	0.1378
22	141	0	0.1378
23	139	0	0.1378
24	139	0	0.1378
25	139	0	0.1378
26	139	0	0.1378
27	139	0	0.1378
28	139	0	0.1378
29	139	0	0.1378
30	139	0	0.1378
31	139	0	0.1378
32	139	0	0.1378
33	139	0.01303	0.137
34	141	0.02074	0.1345
35	144	0.01197	0.1323
36	144	0.01373	0.1322
37	139	0.00974	0.1375
38	139	0	0.1378
39	139	0	0.1378
40	139	0	0.1378
41	139	0	0.1378
42	139	0	0.1378
43	139	0	0.1378
44	142	0.01589	0.1343
45	139	0	0.1378
46	139	0	0.1378
47	139	0	0.1378
48	139	0	0.1378
49	139	0	0.1378
50	139	0	0.1378
51	133	0	0.136
52	433	0.1321	0.0363
53	133	0	0.136
54	133	0	0.136
55	133	0	0.136
56	133	0	0.136
57	133	0	0.136
58	133	0	0.136
59	133	0	0.136
60	133	0	0.136
61	133	0	0.136
62	147	0.06416	0.1201
63	133	0.0217	0.1352
64	132	0.02031	0.1363
65	133	0.03712	0.1327
66	132	0.0206	0.136
67	133	0	0.136
68	133	0	0.136
69	133	0	0.136
70	133	0	0.136
71	133	0	0.136
72	133	0	0.136
73	133	0	0.136
74	133	0	0.136
75	133	0	0.136
76	133	0	0.136
77	133	0	0.136
78	133	0	0.136
79	134	0.007635	0.1348
80	133	0.003543	0.1359
81	133	0.003698	0.1359
82	132	0.003326	0.1369
83	133	0	0.136
84	133	0	0.136
85	133	0	0.136
86	133	0	0.136
87	133	0	0.136
88	133	0	0.136
89	133	0	0.136
90	133	0	0.136
91	133	0	0.136
92	133	0	0.136
93	133	0	0.136
94	133	0	0.136
95	133	0	0.136
96	133	0	0.136
97	132	0	0.135
98	132	0	0.135
99	132	0	0.135
100	132	0	0.135
101	132	0	0.135
102	132	0	0.135
103	130	0.004833	0.1368
104	131	0.002552	0.1359
105	130	0.004683	0.1368
106	163	0.08654	0.1069
107	132	0	0.135
108	131	0.005867	0.1358
109	132	0	0.135
110	132	0	0.135
111	132	0	0.135
112	132	0	0.135
113	129	0.01862	0.1365
114	130	0.01794	0.1364
115	129	0.01076	0.1375
116	195	0.01289	0.0943
117	132	0	0.135
118	132	0	0.135
119	132	0	0.135
120	132	0	0.135
121	132	0	0.135
122	132	0	0.135
123	132	0.0054	0.1349
124	132	0	0.135
125	132	0	0.135
126	132	0	0.135
127	132	0	0.135
128	132	0	0.135
129	132	0	0.135
130	137	0.04795	0.1278
131	140	0.05468	0.1247
132	147	0.0631	0.1191
133	144	0.06338	0.1215
134	131	0.03853	0.1324
135	132	0	0.135
136	132	0	0.135
137	132	0	0.135
138	132	0	0.135
139	132	0	0.135
140	132	0	0.135
141	132	0	0.135
142	132	0	0.135
143	132	0	0.135
144	135	0.01328	0.1318
145	132	0	0.135
146	132	0	0.135
147	132	0	0.135
148	137	0.02745	0.1297
149	116	0	0.1374
150	116	0	0.1374
151	116	0	0.1374
152	116	0	0.1374
153	116	0	0.1374
154	116	0	0.1374
155	116	0	0.1374
156	116	0	0.1374
157	116	0	0.1374
158	116	0	0.1374
159	118	0.004659	0.1349
160	119	0.003297	0.1338
161	173	0.01716	0.09202
162	129	0.05869	0.1219
163	121	0.001274	0.1317
164	116	0	0.1374
