time_95	V1_95	time_5	V1_5
0.69	1.002748	0.47	1.002776
0.695	1.002748	0.47	1.002776
0.7	1.002748	0.475	1.002777
0.705	1.002748	0.475	1.002777
0.71	1.002749	0.48	1.002777
0.715	1.002749	0.48	1.002777
0.72	1.002749	0.485	1.002777
0.725	1.002749	0.485	1.002777
0.73	1.002749	0.49	1.002777
0.735	1.002749	0.49	1.002777
0.74	1.002749	0.495	1.002777
0.745	1.002749	0.495	1.002777
0.75	1.00275	0.5	1.002777
0.755	1.00275	0.5	1.002777
0.76	1.00275	0.505	1.002777
0.765	1.00275	0.505	1.002777
0.77	1.00275	0.51	1.002777
0.775	1.00275	0.51	1.002777
0.78	1.00275	0.515	1.002777
0.785	1.00275	0.515	1.002777
0.79	1.002751	0.52	1.002777
0.795	1.002751	0.52	1.002777
0.8	1.002751	0.525	1.002777
0.805	1.002751	0.525	1.002777
0.805	1.002751	0.53	1.002777
0.81	1.002751	0.53	1.002777
0.81	1.002751	0.535	1.002777
0.815	1.002751	0.535	1.002777
0.815	1.002751	0.54	1.002777
0.82	1.002751	0.54	1.002777
0.82	1.002751	0.545	1.002777
0.825	1.002752	0.545	1.002777
0.825	1.002752	0.55	1.002778
0.83	1.002752	0.55	1.002778
0.83	1.002752	0.555	1.002778
0.835	1.002752	0.555	1.002778
0.835	1.002752	0.56	1.002778
0.84	1.002752	0.56	1.002778
0.84	1.002752	0.565	1.002778
0.845	1.002752	0.565	1.002778
0.845	1.002752	0.57	1.002778
0.85	1.002752	0.57	1.002778
0.85	1.002752	0.575	1.002778
0.855	1.002752	0.575	1.002778
0.855	1.002752	0.58	1.002778
0.86	1.002753	0.58	1.002778
0.86	1.002753	0.585	1.002778
0.865	1.002753	0.585	1.002778
0.865	1.002753	0.59	1.002778
0.87	1.002753	0.59	1.002778
0.87	1.002753	0.595	1.002778
0.875	1.002753	0.595	1.002778
0.875	1.002753	0.6	1.002778
0.88	1.002753	0.6	1.002778
0.88	1.002753	0.605	1.002778
0.885	1.002753	0.605	1.002778
0.885	1.002753	0.61	1.002779
0.89	1.002754	0.61	1.002779
0.89	1.002754	0.615	1.002779
0.895	1.002754	0.615	1.002779
0.895	1.002754	0.62	1.002779
0.9	1.002754	0.62	1.002779
0.9	1.002754	0.625	1.002779
0.905	1.002754	0.625	1.002779
0.905	1.002754	0.63	1.002779
0.91	1.002754	0.63	1.002779
0.91	1.002754	0.635	1.002779
0.915	1.002754	0.635	1.002779
0.915	1.002754	0.64	1.002779
0.92	1.002754	0.64	1.002779
0.92	1.002754	0.645	1.002779
0.925	1.002755	0.645	1.002779
0.925	1.002755	0.65	1.002779
0.93	1.002755	0.65	1.002779
0.93	1.002755	0.655	1.002779
0.935	1.002755	0.655	1.002779
0.935	1.002755	0.66	1.002779
0.94	1.002755	0.66	1.002779
0.94	1.002755	0.665	1.002779
0.945	1.002755	0.665	1.002779
0.945	1.002755	0.67	1.00278
0.95	1.002755	0.67	1.00278
0.95	1.002755	0.675	1.00278
0.955	1.002755	0.675	1.00278
0.955	1.002755	0.68	1.00278
0.96	1.002756	0.68	1.00278
0.96	1.002756	0.685	1.00278
0.965	1.002756	0.685	1.00278
0.965	1.002756	0.69	1.00278
0.97	1.002756	0.69	1.00278
0.97	1.002756	0.695	1.00278
0.975	1.002756	0.695	1.00278
0.975	1.002756	0.7	1.00278
0.98	1.002756	0.7	1.00278
0.98	1.002756	0.705	1.00278
0.985	1.002756	0.705	1.00278
0.985	1.002756	0.71	1.00278
0.99	1.002756	0.71	1.00278
0.99	1.002756	0.715	1.00278
0.995	1.002757	0.715	1.00278
0.995	1.002757	0.72	1.002781
1	1.002757	0.72	1.002781
1	1.002757	0.725	1.002781
1.005	1.002757	0.725	1.002781
1.005	1.002757	0.73	1.002781
1.01	1.002757	0.73	1.002781
1.01	1.002757	0.735	1.002781
1.015	1.002757	0.735	1.002781
1.015	1.002757	0.74	1.002781
1.02	1.002757	0.74	1.002781
1.02	1.002757	0.745	1.002781
1.025	1.002757	0.745	1.002781
1.025	1.002757	0.75	1.002781
1.03	1.002758	0.75	1.002781
1.03	1.002758	0.755	1.002781
1.035	1.002758	0.755	1.002781
1.035	1.002758	0.76	1.002781
1.04	1.002758	0.76	1.002781
1.04	1.002758	0.765	1.002781
1.045	1.002758	0.765	1.002781
1.045	1.002758	0.77	1.002782
1.05	1.002758	0.77	1.002782
1.05	1.002758	0.775	1.002782
1.055	1.002758	0.775	1.002782
1.055	1.002758	0.78	1.002782
1.06	1.002758	0.78	1.002782
1.06	1.002758	0.785	1.002782
1.065	1.002759	0.785	1.002782
1.065	1.002759	0.79	1.002782
1.07	1.002759	0.79	1.002782
1.07	1.002759	0.795	1.002782
1.075	1.002759	0.795	1.002782
1.075	1.002759	0.8	1.002782
1.08	1.002759	0.8	1.002782
1.08	1.002759	0.805	1.002782
1.085	1.002759	0.805	1.002782
1.085	1.002759	0.81	1.002782
1.09	1.002759	0.81	1.002782
1.09	1.002759	0.815	1.002782
1.095	1.002759	0.815	1.002782
1.095	1.002759	0.82	1.002782
1.1	1.00276	0.82	1.002782
1.1	1.00276	0.825	1.002783
1.105	1.00276	0.825	1.002783
1.105	1.00276	0.83	1.002783
1.11	1.00276	0.83	1.002783
1.11	1.00276	0.835	1.002783
1.115	1.00276	0.835	1.002783
1.115	1.00276	0.84	1.002783
1.12	1.00276	0.84	1.002783
1.12	1.00276	0.845	1.002783
1.125	1.00276	0.845	1.002783
1.125	1.00276	0.85	1.002783
1.13	1.00276	0.85	1.002783
1.13	1.00276	0.855	1.002783
1.135	1.002761	0.855	1.002783
1.135	1.002761	0.86	1.002783
1.14	1.002761	0.86	1.002783
1.14	1.002761	0.865	1.002783
1.145	1.002761	0.865	1.002783
1.145	1.002761	0.87	1.002783
1.15	1.002761	0.87	1.002783
1.15	1.002761	0.875	1.002783
1.155	1.002761	0.875	1.002783
1.155	1.002761	0.88	1.002784
