time,_BUS___13-BUS___14-1_AC_side1_Distance_distance_UMonitoredPu,_BUS___13-BUS___14-1_AC_side1_Distance_distance_PMonitoredPu,_BUS___13-BUS___14-1_AC_side1_Distance_distance_QMonitoredPu,R,X
6.295263,1.161488,11.114322,4.149354,0.1065316251939,0.0397718749847999
6.296189,1.161665,11.123835,4.143145,0.106534150528753,0.0396793401819113
6.298041,1.161999,11.14324,4.130435,0.106534185267057,0.0394887418312392
6.301745,1.162586,11.183569,4.103882,0.106513624912299,0.0390858542592562
6.305449,1.163066,11.225911,4.075853,0.106465354004292,0.0386549592736354
6.309153,1.163443,11.270249,4.046396,0.106389634388037,0.0381974338836004
6.312858,1.163717,11.316555,4.015559,0.106286099855776,0.0377144903948913
6.314121,1.163788,11.332795,4.004733,0.106244564857819,0.0375442346708598
6.314121,1.163787,11.332762,4.004742,0.106244569947053,0.0375444301697064
6.314184,1.163792,11.333605,4.004194,0.10624256184281,0.0375357910105046
6.314246,1.163795,11.334413,4.003655,0.106240389943594,0.0375272957143543
6.314371,1.163801,11.336028,4.002577,0.106236050779106,0.0375103143199082
6.31462,1.163813,11.33927,4.000414,0.106227315438639,0.0374762431676069
6.315119,1.163836,11.345776,3.996073,0.106209547034091,0.0374078514545997
6.316116,1.163876,11.358892,3.98732,0.106172400348804,0.0372697737912108
6.318111,1.163936,11.385534,3.969536,0.106092391045739,0.0369888285944372
6.322101,1.163973,11.440425,3.932879,0.105908956261223,0.0364083598285625
6.325535,1.163916,11.48933,3.900201,0.1057260885681,0.0358900820465069
6.325535,1.163915,11.489289,3.900211,0.105726150192815,0.0358903230626082
6.325594,1.163914,11.490193,3.899625,0.105722651255005,0.0358809198331392
6.325654,1.163913,11.491054,3.899049,0.105719409320972,0.0358718318783921
6.325773,1.163909,11.492775,3.897897,0.105712566768524,0.0358535424968582
6.326011,1.163902,11.496231,3.895588,0.10569897844818,0.0358169274830149
6.326487,1.163886,11.503158,3.890957,0.10567135906564,0.035743464034482
6.327439,1.16385,11.517096,3.881637,0.105614933185767,0.0355956772789253
6.329342,1.163759,11.545306,3.862771,0.105496761985001,0.0352965813803085
6.33315,1.163507,11.60302,3.824148,0.105240411112391,0.0346853584389779
6.336957,1.16316,11.662387,3.784372,0.104957333231032,0.0340580014257962
6.344572,1.162191,11.785628,3.701563,0.104314774403699,0.032762590952818
6.345623,1.162028,11.803071,3.689803,0.104218222966228,0.0325800557969579
6.345623,1.162028,11.803071,3.689803,0.104218222966228,0.0325800557969579
6.345675,1.16202,11.803951,3.689214,0.104213363120208,0.0325709076740623
6.345728,1.162012,11.804822,3.688627,0.104208557848715,0.0325618209331603
6.345832,1.161995,11.806565,3.687452,0.104198763672518,0.0325435839722862
6.346041,1.161962,11.810054,3.685099,0.104179339780436,0.0325071486417881
6.346459,1.161894,11.817044,3.680386,0.104140048731718,0.0324341330532013
6.347295,1.161755,11.831071,3.670922,0.104060647772666,0.0322877380452648
6.348967,1.161465,11.859305,3.651852,0.103898579136335,0.0319936315000065
6.35231,1.160833,11.916465,3.61315,0.103560843989067,0.031400324127927
6.358997,1.159369,12.033235,3.533608,0.102834324562764,0.0301977142430593
6.361785,1.158682,12.082722,3.499658,0.102512692770179,0.0296919324432607
6.361785,1.158682,12.082742,3.499653,0.102512572024237,0.029691805901536
6.361834,1.158669,12.083616,3.499052,0.102506729252084,0.0296828677775727
6.361883,1.158657,12.084491,3.498451,0.102501055725172,0.0296739780684832
6.36198,1.158632,12.08624,3.497249,0.102489537335751,0.0296561570809381
6.362176,1.158582,12.08974,3.494844,0.102466484484983,0.0296205194241924
6.362568,1.15848,12.096747,3.490026,0.102419986111646,0.0295491353542638
6.363351,1.158275,12.110785,3.480363,0.102326663176934,0.0294063458672961
6.364917,1.157854,12.138956,3.460935,0.102137458625338,0.0291203877308299
6.368048,1.156969,12.195653,3.421673,0.101749195304046,0.0285472597771993
6.374312,1.155037,12.310209,3.341637,0.100936650859915,0.0273995061472615
6.380576,1.15289,12.425919,3.259736,0.100079031795464,0.0262540921753004
6.38684,1.150535,12.542277,3.176171,0.0991811116869445,0.0251163461537195
6.393104,1.147977,12.658779,3.091143,0.0982473595872698,0.0239909897989903
6.394353,1.147444,12.681976,3.07403,0.0980574816089115,0.0237685073832534
6.394353,1.147444,12.682,3.074022,0.0980573449591388,0.023768367423591
6.394395,1.147426,12.682784,3.073443,0.0980509291641923,0.0237608668477822
6.394437,1.147408,12.683567,3.072865,0.09804451650865,0.0237533781483831
6.394522,1.147371,12.685134,3.071707,0.0980315199348973,0.0237383464774329
6.39469,1.147298,12.688267,3.069391,0.0980057022649897,0.0237083457087433
6.395028,1.147152,12.694533,3.064756,0.0979540683788092,0.0236483940597394
6.395702,1.146858,12.707059,3.055477,0.0978504958738339,0.0235286496726815
6.397051,1.146264,12.732092,3.036877,0.0976424639215321,0.0232898217281677
6.399749,1.145048,12.782062,2.999529,0.0972222692833321,0.0228148647816889
6.405145,1.142516,12.881489,2.924316,0.0963682753130496,0.0218772293630306
6.41054,1.13985,12.980039,2.848533,0.0954974207780438,0.0209573757444907
6.415936,1.137058,13.07747,2.772333,0.0946127593092547,0.0200572492121262
6.421332,1.134144,13.173554,2.695871,0.0937165558121168,0.0191784043268633
6.426728,1.131114,13.268072,2.619299,0.0928113359418168,0.0183222279334228
6.432123,1.127974,13.360815,2.542765,0.0918995370921969,0.0174898706728774
6.437519,1.12473,13.45159,2.466412,0.0909834662619043,0.0166822444774154
6.442915,1.121388,13.540213,2.390376,0.0900653448387056,0.0159000481553847
6.448311,1.117954,13.626518,2.314788,0.0891472428799913,0.0151437783336645
6.454295,1.11405,13.719251,2.23172,0.0881325208691773,0.0143365778112931
6.454295,1.11405,13.719251,2.23172,0.0881325208691773,0.0143365778112931
6.454303,1.114045,13.719412,2.231593,0.0881310074202375,0.0143353475529381
6.454311,1.11404,13.719539,2.231478,0.0881296766955137,0.0143342596783428
6.454328,1.114029,13.719791,2.231248,0.0881268692269484,0.014332062398683
6.454361,1.114007,13.7203,2.230787,0.0881212259198269,0.0143276521071706
6.454428,1.113963,13.721314,2.229867,0.0881099598307936,0.0143188539959083
6.454561,1.113874,13.723342,2.228026,0.0880872724287706,0.0143012345855976
6.454827,1.113698,13.727392,2.224346,0.0880422501080415,0.0142661058166636
6.455359,1.113344,13.735472,2.216991,0.0879520155821408,0.0141960048389648
6.456424,1.112635,13.751556,2.202302,0.087771868053897,0.0140566027989003
6.458553,1.111207,13.783407,2.173014,0.0874119841100363,0.013780879084459
6.462812,1.108317,13.845818,2.11482,0.0866949463847633,0.0132418472143304
6.467071,1.105384,13.906465,2.057169,0.0859821767250257,0.0127192545705357
6.475589,1.099403,14.022233,1.943715,0.0845728624631056,0.0117232070927987
6.484107,1.093287,14.130384,1.832952,0.0831893134551332,0.0107910739351608
6.492625,1.087057,14.230661,1.725159,0.0818358283294885,0.00992081926237102
6.501142,1.080739,14.32289,1.620582,0.080516781122136,0.00911017582237059
6.50966,1.074358,14.406952,1.519442,0.079235886722025,0.00835668323130994
6.518178,1.067936,14.482801,1.421923,0.0779958739107004,0.00765764350547417
6.526696,1.061498,14.55046,1.328179,0.0767994306203592,0.00701032070202028
6.535214,1.055069,14.610016,1.238333,0.0756488211618618,0.00641193217419007
6.543731,1.048671,14.661614,1.15248,0.0745455250160089,0.00585967047491837
6.552249,1.042329,14.705454,1.07069,0.0734911465431478,0.00535081988575687
6.560767,1.036064,14.741785,0.993009,0.0724864761227018,0.00488270064772536
6.569285,1.029901,14.770898,0.91946,0.0715326802901743,0.0044527718097846
6.577803,1.02386,14.793121,0.85005,0.0706300787879135,0.00405858226088098
6.58632,1.017964,14.808812,0.784765,0.0697793167497221,0.00369782299276239
6.593991,1.012797,14.817679,0.729481,0.0690578942433735,0.00339975118576602
6.593991,1.012799,14.817829,0.729459,0.0690574813640739,0.00339959391476011
6.594045,1.012764,14.817873,0.729083,0.0690526765126787,0.00339759509005735
6.594099,1.012728,14.817918,0.728707,0.0690477307437401,0.00339558936195211
6.594206,1.012656,14.818008,0.727954,0.0690378399326043,0.00339157407191972
6.594422,1.012513,14.818184,0.726452,0.0690182124373941,0.00338357375381287
6.594852,1.012228,14.818525,0.723455,0.0689791457175823,0.00336762990008206
6.595713,1.011658,14.819163,0.717493,0.0689012180171938,0.00333596044653874
6.597436,1.010525,14.820265,0.705693,0.0687471295963166,0.0032735155630627
6.60088,1.008281,14.82178,0.682591,0.0684451506864952,0.00315212099034296
6.607769,1.003896,14.822154,0.63837,0.0678674132435987,0.00292295712163806
6.621547,0.995567,14.813045,0.557761,0.0668161345063931,0.00251585234490412
6.635324,0.987878,14.792247,0.487268,0.0659024382147195,0.00217087703200264
6.649102,0.980897,14.761457,0.426531,0.0651261100402885,0.00188181321407462
6.66288,0.974682,14.722257,0.375183,0.0644866091155975,0.00164338113835516
6.67528,0.969786,14.680991,0.336693,0.064027726945423,0.00146840819318228
6.68644,0.965971,14.639604,0.308107,0.0637098413957355,0.00134084556542075
6.696484,0.963032,14.5994,0.287129,0.0635006947894763,0.00124887947410219
6.706528,0.960574,14.556696,0.270524,0.0633649177509793,0.00117758391118877
6.716572,0.958605,14.511671,0.258178,0.0633030323476201,0.0011262280054064
6.726616,0.957126,14.464385,0.249972,0.0633152849891819,0.00109420818232616
6.73666,0.956139,14.414924,0.245808,0.0634020707497685,0.00108115285289462
6.746704,0.955642,14.363196,0.245584,0.0635641764016462,0.00108682947008604
6.756748,0.955627,14.309001,0.249224,0.0638022186212913,0.00111126165507101
6.766792,0.956085,14.25209,0.256646,0.0641170666964234,0.00115459477868651
6.776836,0.957004,14.192149,0.267769,0.0645096627986772,0.00121712982987559
6.78688,0.958369,14.12878,0.282514,0.0649811277855267,0.00129933924480389
6.796924,0.96016,14.061521,0.300803,0.0655324228796972,0.00140186466311017
6.806968,0.962357,13.989863,0.322552,0.0661649753008605,0.00152550779898582
6.814059,0.964137,13.936297,0.339932,0.0666609954238808,0.00162598468563282
6.814059,0.964135,13.936241,0.339973,0.0666609768439427,0.00162618688070662
6.814127,0.964153,13.93572,0.340147,0.0666659146447255,0.00162720052273291
6.814194,0.964171,13.935198,0.340322,0.0666708573759268,0.00162821938546479
6.814329,0.964207,13.934153,0.340671,0.066680749010209,0.00163025319486996
6.814599,0.964279,13.932059,0.341371,0.0667005555795298,0.00163433383096782
6.815139,0.964424,13.92786,0.342778,0.0667403767400801,0.00164254471671967
6.81622,0.964716,13.919415,0.34562,0.0668205899374004,0.00165915969127757
6.81838,0.965314,13.902335,0.351418,0.0669841503297637,0.00169320018116273
6.822701,0.966557,13.867389,0.363463,0.0673227739662629,0.00176452376104109
6.831343,0.969227,13.794195,0.389301,0.0680469830230684,0.00192042801612298
6.839984,0.972126,13.716289,0.41742,0.0688345475518752,0.00209480252560323
6.848626,0.975235,13.633309,0.447735,0.0696865758171444,0.00228859472219761
6.857268,0.978531,13.54491,0.480144,0.0706037339575488,0.00250278216963519
6.86591,0.981993,13.450765,0.514529,0.0715871003156466,0.00273840477759513
6.869355,0.983412,13.41155,0.528753,0.0719975161528282,0.00283851625340519
6.869355,0.983413,13.411613,0.528757,0.0719973237326384,0.00283851680665843
6.869374,0.983422,13.411384,0.528823,0.0719998392155796,0.00283901877490798
6.869394,0.98343,13.411161,0.528904,0.0720021699039462,0.00283959275940963
6.869432,0.983446,13.410714,0.529067,0.07200683644476,0.00284074665504908
6.86951,0.983478,13.40982,0.52939,0.0720161717361789,0.00284303899347014
6.869665,0.983543,13.40803,0.530039,0.0720350020048533,0.00284764879163087
6.869975,0.983672,13.404444,0.531339,0.072072562564702,0.0028568856209602
6.870596,0.983931,13.397248,0.533946,0.072148017011123,0.00287545211457018
6.871836,0.984452,13.382761,0.539186,0.0723001122629907,0.00291294212985145
6.874318,0.9855,13.3534,0.549775,0.0726082324857332,0.00298936533128971
6.879282,0.987625,13.293115,0.571366,0.0732412564286751,0.00314806301763179
6.884245,0.989784,13.230712,0.593489,0.0738966341253195,0.00331477546260562
6.894172,0.994183,13.099452,0.639162,0.0752743155622022,0.00367286219937813
6.904099,0.998661,12.959384,0.686561,0.0767422649163567,0.00406564433488805
6.914026,1.003182,12.810407,0.735402,0.0783010636834802,0.00449499838958737
6.923953,1.00771,12.652565,0.785366,0.0799507393461134,0.00496267692418887
6.927273,1.009218,12.59783,0.802253,0.0805223731567945,0.00512781291953915
6.927273,1.009218,12.59783,0.802253,0.0805223731567945,0.00512781291953915
6.927273,1.009218,12.59783,0.802253,0.0805223731567945,0.00512781291953915
6.93388,1.01221,12.486012,0.836116,0.0816910327538156,0.00547037593284303
6.943807,1.016646,12.311048,0.887292,0.0835207504150868,0.00601957637378257
6.953734,1.020987,12.128116,0.93852,0.0854386095009526,0.00661156636272559
6.963661,1.025202,11.937801,0.989416,0.0874422809519273,0.00724729720744483
6.973588,1.029262,11.740832,1.03959,0.0895285050422151,0.00792728646120108
6.993441,1.036796,11.3318,1.135794,0.0939174929362111,0.00941341401824873
7.009259,1.04218,10.99469,1.207391,0.0976104752954856,0.0107191752907532
7.025076,1.046948,10.653094,1.272924,0.101441965367617,0.0121211652054894
7.038393,1.05046,10.365663,1.322534,0.104748818717594,0.0133646901518845
7.050377,1.053216,10.11006,1.362246,0.107762369839584,0.0145200777507249
7.061164,1.055367,9.884818,1.393616,0.110481759753814,0.0155763260488024
7.07195,1.057205,9.665828,1.420654,0.113187253914699,0.0166359183116991
7.082736,1.058739,9.454861,1.443187,0.115856439574854,0.0176842903836148
7.093522,1.05998,9.253526,1.461114,0.118465835761535,0.0187055281579021
7.104308,1.060939,9.063335,1.474396,0.12098991110507,0.0196822737958677
7.115094,1.061632,8.885667,1.483046,0.123402912531444,0.0205963374294927
7.125881,1.062075,8.721756,1.487127,0.125678301028422,0.0214291244530912
7.136667,1.062283,8.572678,1.486743,0.127789195682426,0.0221622335700089
7.147453,1.062274,8.43934,1.482043,0.129710056558661,0.0227785444539937
7.152434,1.062203,8.383322,1.478476,0.130526000510609,0.0230194616323843
7.152434,1.062204,8.383253,1.478435,0.130527474155834,0.0230192726204948
7.152508,1.062202,8.382486,1.478425,0.130538258564994,0.023023125230266
7.152583,1.062201,8.381679,1.478365,0.130550142455026,0.0230265035621771
7.152731,1.062198,8.380064,1.47824,0.130573712230759,0.0230331515807035
7.153027,1.062192,8.376852,1.477999,0.130620566097868,0.0230464936078712
7.15362,1.06218,8.370461,1.477501,0.130713978187471,0.0230728072785915
