time	VDrop6
3.42	3.470536
3.43	3.470221
3.44	3.469913
3.45	3.469611
3.46	3.4693075
3.47	3.469008
3.48	3.468712
3.49	3.468422
3.5	3.468149
3.51	3.467868
3.52	3.467593
3.53	3.4673185
3.54	3.46705
3.55	3.4667865
3.56	3.466529
3.57	3.466276
3.58	3.466018
3.59	3.4657725
3.6	3.4655295
3.61	3.465297
3.62	3.4650515
3.63	3.46481
3.64	3.464586
3.65	3.4643605
3.66	3.4641385
3.67	3.4639165
3.68	3.463693
3.69	3.4634835
3.7	3.4632735
3.71	3.4630595
3.72	3.4628575
3.73	3.462663
3.74	3.4624655
3.75	3.462262
3.76	3.4620705
3.77	3.4618875
3.78	3.4617035
3.79	3.461518
3.8	3.4613395
3.81	3.4611585
3.82	3.4609825
3.83	3.460807
3.84	3.4606435
3.85	3.46047
3.86	3.4603015
3.87	3.4601435
3.88	3.459987
3.89	3.4598265
3.9	3.4596675
3.91	3.45951
3.92	3.459364
3.93	3.4592145
3.94	3.4590655
3.95	3.458931
3.96	3.4587755
3.97	3.458638
3.98	3.4584995
3.99	3.458373
4	3.458234
4.01	3.4581005
4.02	3.45797
4.03	3.457837
4.04	3.4577115
4.05	3.457589
4.06	3.457467
4.07	3.457344
4.08	3.4572285
4.09	3.4571135
4.1	3.4569965
4.11	3.4568725
4.12	3.4567635
4.13	3.4566625
4.14	3.456549
4.15	3.4564425
4.16	3.456336
4.17	3.4562335
4.18	3.4561255
4.19	3.456026
4.2	3.455928
4.21	3.455834
4.22	3.4557345
4.23	3.455644
4.24	3.455547
4.25	3.455452
4.26	3.4553575
4.27	3.4552665
4.28	3.4551775
4.29	3.4550875
4.3	3.4550005
4.31	3.454916
4.32	3.454833
4.33	3.4547465
4.34	3.4546685
4.35	3.454585
4.36	3.4545
4.37	3.454423
4.38	3.454345
4.39	3.454261
4.4	3.4541965
4.41	3.454115
4.42	3.4540475
4.43	3.453975
4.44	3.4538955
4.45	3.4538235
4.46	3.453764
4.47	3.45369
4.48	3.453618
4.49	3.453553
4.5	3.453489
4.51	3.453429
4.52	3.453357
4.53	3.453297
4.54	3.453236
4.55	3.453165
4.56	3.453109
4.57	3.453045
4.58	3.4529865
4.59	3.4529275
4.6	3.4528675
4.61	3.45281
4.62	3.452761
4.63	3.452699
4.64	3.452642
4.65	3.452586
4.66	3.452531
4.67	3.452472
4.68	3.452421
4.69	3.4523705
4.7	3.4523185
4.71	3.4522645
4.72	3.452218
4.73	3.45217
4.74	3.452116
4.75	3.4520695
4.76	3.4520225
4.77	3.4519665
4.78	3.451924
4.79	3.4518775
4.8	3.451823
4.81	3.451784
4.82	3.4517395
4.83	3.451688
4.84	3.451654
4.85	3.451601
4.86	3.451557
4.87	3.451511
4.88	3.45148
4.89	3.451431
4.9	3.451387
4.91	3.451348
4.92	3.4513125
4.93	3.451268
4.94	3.451222
4.95	3.451185
4.96	3.451142
4.97	3.451115
4.98	3.451063
4.99	3.451031
5	3.450986
